u1	u2	nobservations	iqr
1	3.282857142857143	1050	2.0
2	3.3007874015748033	635	1.5
3	3.581833761782346	389	1.0
4	3.573369565217391	276	1.0
5	3.471345029239767	171	1.0
6	3.464506172839507	108	0.7083333333333335
7	3.5476190476190466	66	0.8214285714285716
8	3.257575757575758	33	0.875
9	3.453703703703704	24	0.6111111111111112
10	3.4941176470588236	17	0.5999999999999996
11	3.477272727272727	8	0.4090909090909087
12	3.3	5	0.6666666666666665
13	3.6346153846153846	4	0.5961538461538463
14	3.2857142857142856	1	0.0
16	3.75	1	0.0
22	3.5454545454545454	1	0.0
