u1	u2	nobservations	iqr
1	8.0	6	4.5
2	5.025	20	1.75
3	6.29718875502008	83	2.500000000000001
4	5.665948275862069	116	2.25
5	5.50464135021097	237	2.0
6	5.3611111111111045	228	1.833333333333333
7	5.161725067385444	212	1.4285714285714288
8	5.200129533678757	193	1.5
9	4.871794871794869	143	1.4444444444444446
10	4.800000000000003	132	0.9249999999999998
11	4.7764127764127755	111	1.2272727272727275
12	4.459935897435901	104	0.9166666666666665
13	4.358348968105066	82	0.7692307692307696
14	4.278688524590164	61	0.8571428571428577
15	4.350877192982455	76	0.7166666666666663
16	4.2236328125	64	0.640625
17	4.276470588235295	60	0.8529411764705883
18	4.174329501915708	58	0.8194444444444438
19	4.161601186063751	71	0.5526315789473686
20	4.269531249999998	64	0.6749999999999994
21	4.171608265947889	53	0.4761904761904763
22	4.254545454545456	55	0.5681818181818188
23	4.211462450592886	44	0.4456521739130439
24	4.138333333333334	50	0.6562499999999996
25	4.388085106382977	47	0.6399999999999997
26	4.372208436724567	31	0.4423076923076916
27	4.232323232323232	33	0.518518518518519
28	4.23152709359606	29	0.39285714285714324
29	4.23424494649227	29	0.5172413793103448
30	4.2749999999999995	24	0.6083333333333334
31	4.208602150537634	15	0.6451612903225814
32	4.1398809523809526	21	0.6875
33	4.1781818181818196	25	0.545454545454545
34	4.204411764705882	20	0.39705882352941124
35	4.237714285714286	25	0.3714285714285719
36	4.371212121212121	11	0.31944444444444464
37	4.17867867867868	18	0.5743243243243241
38	4.157894736842105	5	0.5263157894736845
39	4.21978021978022	14	0.3974358974358978
40	3.9875000000000007	6	0.38749999999999973
41	4.341463414634147	8	0.5365853658536581
42	4.176587301587301	12	0.2916666666666661
43	4.0671834625323	9	0.30232558139534893
44	4.107954545454545	4	0.39204545454545503
45	4.35925925925926	6	0.5777777777777775
46	4.282608695652174	7	0.4891304347826093
47	4.134751773049646	6	0.19148936170212671
48	4.260416666666666	4	0.20833333333333304
50	4.251428571428571	7	0.39000000000000057
51	4.1917211328976025	9	0.19607843137254832
52	4.173076923076923	1	0.0
53	4.037735849056604	2	0.13207547169811296
54	3.564814814814815	2	0.046296296296296724
55	4.1090909090909085	3	0.1999999999999993
56	4.0044642857142865	4	0.3169642857142856
57	4.026315789473684	2	0.20175438596491269
58	3.586206896551724	1	0.0
60	4.016666666666667	2	0.4500000000000002
61	4.147540983606557	1	0.0
62	4.346774193548388	2	0.26612903225806495
63	4.285714285714286	3	0.6349206349206344
64	4.234375	1	0.0
65	4.2	1	0.0
67	4.313432835820896	1	0.0
69	4.231884057971015	2	0.17391304347825987
72	4.527777777777778	1	0.0
75	4.153333333333333	2	0.046666666666666856
76	4.631578947368421	1	0.0
77	4.2727272727272725	1	0.0
78	4.166666666666667	1	0.0
83	4.156626506024097	1	0.0
84	4.071428571428571	1	0.0
85	4.211764705882353	1	0.0
87	4.367816091954023	1	0.0
95	4.515789473684211	1	0.0
107	4.280373831775701	1	0.0
116	4.275862068965517	1	0.0
