u1	u2	nobservations	iqr
1	8.719679186228483	5112	5.0
2	7.286218630370056	11755	3.5
3	6.912317444360684	11937	3.000000000000001
4	6.779213631560409	11356	2.75
5	6.882674708818635	9616	2.4000000000000004
6	7.057780945592771	7015	2.333333333333333
7	7.175971710270005	4767	2.1428571428571423
8	7.271903669724771	3270	2.0
9	7.4484915378955066	2114	2.000000000000001
10	7.445032165832738	1399	2.0
11	7.49459845087647	892	2.090909090909091
12	7.492009132420086	584	1.916666666666667
13	7.555490311215509	393	1.7692307692307692
14	7.479999999999997	250	1.625
15	7.665549348230912	179	2.0666666666666664
16	7.765046296296297	108	2.09375
17	7.753292361720808	67	1.8235294117647047
18	7.866452991452992	52	1.625
19	7.563467492260063	34	2.157894736842106
20	7.729999999999999	35	1.9749999999999996
21	7.812324929971988	17	2.571428571428571
22	7.141414141414142	9	1.2272727272727275
23	7.987577639751552	7	0.804347826086957
24	7.463541666666667	8	2.0
25	6.080000000000001	4	1.2199999999999998
26	7.91025641025641	3	2.3076923076923066
27	9.123456790123457	3	0.5740740740740744
28	7.444444444444445	9	0.7857142857142856
29	8.28735632183908	3	0.8448275862068968
30	6.383333333333333	2	0.8166666666666673
31	6.903225806451613	2	1.6451612903225818
32	9.71875	1	0.0
34	9.147058823529411	1	0.0
37	7.3108108108108105	2	0.14864864864864824
41	8.861788617886178	3	0.37804878048780566
43	8.651162790697674	1	0.0
45	6.044444444444444	1	0.0
60	7.3	1	0.0
74	5.527027027027027	1	0.0
106	6.132075471698113	1	0.0
109	5.605504587155964	1	0.0
