u1	u2	nobservations	iqr
1	2.4186046511627906	13416	2.0
2	2.609190067300998	17236	2.5
3	2.3681070774574655	17657	1.6666666666666667
4	2.2262545179457005	11897	1.5
5	2.120517629407347	5332	1.2000000000000002
6	2.0913161993769447	1712	1.1666666666666667
7	2.0822315382134793	443	0.9999999999999998
8	2.0801282051282053	117	0.875
9	1.8108108108108107	37	0.6666666666666667
10	1.4666666666666668	6	0.5499999999999998
11	1.6363636363636362	5	0.6363636363636365
12	1.6666666666666667	1	0.0
15	2.533333333333333	1	0.0
16	2.6875	1	0.0
19	2.3157894736842106	1	0.0
21	3.4761904761904763	1	0.0
32	3.28125	1	0.0
33	3.272727272727273	1	0.0
