u1	u2	nobservations	iqr
1	5.923670758424036	115028	5.0
2	7.795013177971979	28836	3.5
3	7.741365171249422	13820	3.333333333333334
4	7.46789343100189	8464	3.0
5	7.3323207577984215	6123	2.8
6	7.274500975536563	4442	2.5
7	7.237363312985816	3253	2.2857142857142865
8	7.187808641975309	2430	2.25
9	7.226203601617058	1814	2.1111111111111107
10	7.275124378109467	1407	2.200000000000001
11	7.2476255088195325	1072	1.9090909090909092
12	7.279961340206184	776	2.0
13	7.236794871794865	600	1.9999999999999991
14	7.2931266846361185	424	1.7857142857142856
15	7.398730158730165	315	1.8000000000000007
16	7.414511494252873	261	2.0
17	7.187394957983195	210	1.5882352941176467
18	7.456228956228957	165	1.7777777777777786
19	7.437952679864801	109	1.8947368421052628
20	7.565000000000001	100	1.8249999999999993
21	7.497883597883599	90	2.166666666666667
22	7.642743221690594	57	1.6363636363636358
23	7.734782608695651	40	1.445652173913044
24	7.459770114942528	29	1.666666666666667
25	7.125	16	2.45
26	7.493927125506073	19	0.8076923076923075
27	7.879629629629631	20	1.5
28	6.910714285714287	16	1.2946428571428577
29	7.910750507099391	17	1.3448275862068968
30	7.207407407407406	9	0.5666666666666664
31	7.477419354838709	10	0.4435483870967749
32	7.392857142857143	7	1.28125
33	7.356060606060606	4	1.6893939393939403
34	7.068627450980393	6	0.977941176470587
35	7.089795918367345	7	0.9285714285714288
36	8.027777777777777	2	0.19444444444444464
37	6.972972972972973	1	0.0
38	8.763157894736842	4	1.4342105263157894
39	8.794871794871796	1	0.0
40	7.325	4	0.6125000000000007
42	7.261904761904762	1	0.0
44	6.2727272727272725	1	0.0
47	7.638297872340425	1	0.0
52	8.26923076923077	1	0.0
