u1	u2	nobservations	iqr
1	5.409754637941353	16710	4.0
2	4.633274121166791	10696	2.5
3	4.295323383084569	5025	1.6666666666666665
4	4.091772151898734	2133	1.5
5	4.015980629539949	826	1.3999999999999995
6	4.191091954022989	348	1.3749999999999996
7	4.21295474711624	161	1.5714285714285712
8	4.390822784810126	79	1.5625
9	3.9970760233918106	38	1.2222222222222223
10	4.6869565217391305	23	1.5500000000000007
11	4.330143540669856	19	1.7727272727272725
12	4.3	5	1.4999999999999996
13	4.373626373626373	7	0.9615384615384617
14	4.671428571428571	5	1.0000000000000004
15	4.706666666666666	5	0.7333333333333334
16	6.0	1	0.0
17	7.0588235294117645	2	0.17647058823529438
18	4.977777777777778	5	1.5
19	5.7368421052631575	2	1.5789473684210522
20	4.25	1	0.0
24	6.458333333333333	1	0.0
30	6.666666666666667	1	0.0
