u1	u2	nobservations	iqr
1	2.6093357271095154	16710	1.0
2	2.743782722513089	10696	1.5
3	2.7097844112769476	5025	1.3333333333333335
4	2.6454524144397564	2133	0.75
5	2.6341404358353495	826	0.7999999999999998
6	2.6020114942528747	348	0.8333333333333335
7	2.6503992901508426	161	0.8571428571428572
8	2.7009493670886076	79	0.75
9	2.570175438596492	38	0.5555555555555554
10	2.673913043478261	23	0.9000000000000004
11	2.4928229665071773	19	0.49999999999999956
12	2.0166666666666666	5	1.0833333333333333
13	2.3846153846153846	7	0.4230769230769229
14	2.5	5	0.714285714285714
15	2.3600000000000003	5	0.06666666666666643
16	2.1875	1	0.0
17	2.117647058823529	2	0.05882352941176494
18	2.4	5	0.2777777777777777
19	2.447368421052632	2	0.1315789473684208
20	2.75	1	0.0
24	2.0833333333333335	1	0.0
30	2.066666666666667	1	0.0
