u1	u2	nobservations	iqr
1	5.779964747356051	6808	5.0
2	4.989173718267795	12054	4.5
3	4.435633442862357	13695	3.666666666666667
4	4.12628818122737	10771	3.25
5	3.8051393188854497	6460	2.8
6	3.5739155251141606	2920	2.5000000000000004
7	3.3753075698364405	987	2.142857142857143
8	3.335227272727273	242	2.09375
9	3.2059259259259263	75	2.166666666666667
10	3.2629629629629626	27	1.9
11	2.4155844155844153	7	1.772727272727273
12	2.611111111111111	3	0.6249999999999996
13	2.3076923076923075	1	0.0
15	1.9666666666666668	2	0.10000000000000053
17	1.2352941176470589	1	0.0
18	4.166666666666667	1	0.0
31	2.7096774193548385	1	0.0
34	1.588235294117647	1	0.0
