u1	u2	nobservations	iqr
1	3.5484984087888507	82013	2.0
2	4.795852749301025	21460	2.5
3	4.808773258081578	14529	2.0000000000000004
4	4.741476058144507	9356	1.75
5	4.666984905173525	7751	1.6000000000000005
6	4.611877514761979	6379	1.4999999999999996
7	4.638636885622412	4976	1.2857142857142856
8	4.687011841773747	3969	1.25
9	4.692824283939424	3309	1.2222222222222223
10	4.712736842105263	2850	1.2000000000000002
11	4.716048922365565	2438	1.0
12	4.709900667643702	2047	1.083333333333333
13	4.670873047836397	1719	1.0
14	4.687025075987843	1504	1.0
15	4.703882783882786	1365	0.9333333333333336
16	4.7009556239015815	1138	1.0
17	4.670451303702864	1031	0.8235294117647056
18	4.740250183958789	906	0.8888888888888893
19	4.689932986973875	699	0.8947368421052637
20	4.690615835777125	682	0.8374999999999995
21	4.70441531042797	632	0.7619047619047619
22	4.752066115702483	506	0.8636363636363633
23	4.767512077294687	432	0.8260869565217392
24	4.701869806094183	361	0.875
25	4.721675977653633	358	0.8799999999999999
26	4.77785145888594	290	0.7692307692307692
27	4.747176254268451	282	0.6944444444444446
28	4.695159106296546	211	0.75
29	4.781609195402299	201	0.7241379310344831
30	4.776936936936938	185	0.8000000000000007
31	4.770829210370077	163	0.67741935483871
32	4.697916666666667	141	0.78125
33	4.691051136363636	128	0.7878787878787881
34	4.7209528439474955	121	0.6470588235294112
35	4.7515072083879435	109	0.5999999999999996
36	4.689930555555555	80	0.5069444444444446
37	4.678051678051676	91	0.8783783783783781
38	4.7284688995215305	66	0.6513157894736841
39	4.824118589743591	64	0.6474358974358978
40	4.727551020408164	49	0.8000000000000007
41	4.73170731707317	52	0.6402439024390247
42	4.666666666666667	28	0.5535714285714288
43	4.7519379844961245	33	0.4883720930232558
44	4.768181818181818	40	0.6193181818181817
45	4.726164874551971	31	0.5999999999999996
46	4.760869565217392	25	0.9130434782608692
47	4.8903436988543385	26	0.6382978723404253
48	4.819444444444445	18	0.802083333333333
49	4.732545649838883	19	0.9489795918367347
50	4.8981818181818175	11	0.35000000000000053
51	4.897435897435897	13	0.3725490196078427
52	4.717307692307692	10	0.8221153846153841
53	4.59748427672956	3	0.12264150943396235
54	4.83641975308642	6	0.6759259259259256
55	4.8	7	0.47272727272727266
56	5.053571428571428	3	0.14285714285714235
57	4.555555555555555	6	0.8377192982456139
58	4.646551724137931	2	0.4224137931034484
59	5.4576271186440675	1	0.0
60	4.929166666666666	4	0.5125000000000002
61	5.204918032786885	2	0.28688524590163844
62	4.720430107526881	3	0.443548387096774
63	4.793650793650794	2	0.1111111111111116
64	4.803125	5	1.171875
67	4.8059701492537314	1	0.0
69	5.3478260869565215	1	0.0
71	5.28169014084507	1	0.0
72	5.652777777777778	1	0.0
73	5.602739726027397	1	0.0
75	5.186666666666667	2	0.2933333333333339
84	4.690476190476191	1	0.0
143	4.7972027972027975	1	0.0
146	4.931506849315069	1	0.0
