u1	u2	nobservations	iqr
1	3.4449751437761966	10259	2.0
2	3.2486247828604515	6908	1.5
3	3.103567888999011	4036	1.333333333333333
4	3.0049367088607597	1975	1.0
5	3.044105691056911	984	1.0
6	2.9283687943262406	470	0.8333333333333335
7	2.982445520581114	236	0.8571428571428568
8	2.9526699029126213	103	0.75
9	3.030864197530866	54	0.8888888888888893
10	2.6772727272727272	22	0.7750000000000008
11	3.04040404040404	9	1.0909090909090908
12	2.861111111111111	6	0.125
13	3.0461538461538464	5	0.6923076923076921
15	3.1333333333333333	1	0.0
