u1	u2	nobservations	iqr
1	8.254545454545454	990	3.0
2	5.611878453038674	724	2.5
3	5.44065387348969	938	2.333333333333334
4	5.311293436293436	1036	2.0
5	5.238740458015267	1048	1.7999999999999998
6	5.3076181292189	1037	1.666666666666667
7	5.205519134014331	937	1.428571428571428
8	5.140868263473054	835	1.5
9	5.223119485569007	743	1.333333333333334
10	5.2650000000000015	620	1.3000000000000007
11	5.251996314496314	592	1.1136363636363633
12	5.28918548939083	487	1.166666666666666
13	5.274456056193247	449	1.0769230769230766
14	5.222334004024142	355	1.0714285714285712
15	5.2333333333333325	316	1.0
16	5.385596885813149	289	1.0625
17	5.372378516624041	230	0.9411764705882346
18	5.342944210032817	237	0.9444444444444438
19	5.307836257309936	225	1.0
20	5.329999999999999	200	0.9125000000000005
21	5.2988416988417	185	0.9523809523809526
22	5.3579169175195664	151	0.8409090909090908
23	5.413405797101447	120	0.8804347826086962
24	5.2944677871148444	119	0.958333333333333
25	5.341176470588235	68	0.7699999999999996
26	5.253393665158373	68	1.0384615384615383
27	5.33196159122085	54	0.7962962962962958
28	5.172932330827069	57	0.9285714285714288
29	5.357758620689654	32	0.6034482758620685
30	5.2874074074074064	45	0.5333333333333332
31	5.334677419354838	32	0.7903225806451619
32	5.287878787878788	33	0.90625
33	5.121212121212121	19	0.8787878787878789
34	5.262443438914027	13	0.5882352941176467
35	5.152941176470589	17	0.7999999999999998
36	5.230158730158729	14	0.4861111111111116
37	5.257796257796258	13	0.9729729729729728
38	4.582706766917292	7	0.5
39	4.994871794871795	5	1.0256410256410255
40	5.141666666666667	3	0.3625000000000007
41	4.780487804878049	1	0.0
42	4.785714285714286	2	0.07142857142857117
44	4.613636363636363	1	0.0
47	4.595744680851064	1	0.0
49	5.673469387755102	1	0.0
51	4.294117647058823	1	0.0
