u1	u2	nobservations	iqr
1	2.779166666666667	20400	2.0
2	3.7899609347911514	43261	3.5
3	3.578967990559538	72312	2.666666666666667
4	3.2692582117374815	77785	2.25
5	3.0436245374004467	53502	1.7999999999999998
6	2.8917371040366784	25318	1.5
7	2.7804641519529216	8544	1.4285714285714284
8	2.7153189066059227	2195	1.25
9	2.5626984126984116	420	1.2222222222222223
10	2.436708860759494	79	1.1
11	2.4782608695652173	23	1.0454545454545454
12	2.791666666666667	2	0.2916666666666665
13	2.923076923076923	1	0.0
14	1.2142857142857142	1	0.0
33	1.0909090909090908	1	0.0
