u1	u2	nobservations	iqr
1	8.205705705705705	1332	4.0
2	5.719201850780798	1729	2.5
3	5.228844738778512	2265	1.666666666666667
4	5.008813306852036	2014	1.75
5	4.968149580915534	1551	1.3999999999999995
6	4.995614035087717	1026	1.333333333333334
7	4.937142857142858	750	1.1428571428571432
8	4.925983436853002	483	1.125
9	4.963915684172917	311	1.0
10	5.032420091324198	219	1.1499999999999995
11	5.103335513407455	139	0.9545454545454541
12	5.107142857142855	105	0.9166666666666661
13	5.11965811965812	63	1.0
14	5.385154061624649	51	0.9642857142857144
15	5.336507936507938	42	0.8166666666666664
16	5.1875	24	0.484375
17	5.494809688581314	17	0.8235294117647065
18	5.313492063492063	14	0.8888888888888893
19	5.611842105263158	16	0.6184210526315788
20	5.357142857142857	7	0.4499999999999993
21	5.166666666666667	10	0.6071428571428568
22	5.5227272727272725	6	0.7954545454545459
23	5.445652173913043	8	0.4891304347826093
24	4.958333333333333	4	0.14583333333333304
25	5.3	2	0.7800000000000002
26	5.14423076923077	4	0.7211538461538458
28	5.0625	4	0.4375
29	6.5	2	0.913793103448274
31	5.612903225806452	1	0.0
41	5.804878048780488	1	0.0
46	5.271739130434783	2	0.054347826086956985
155	6.916129032258064	1	0.0
