u1	u2	nobservations	iqr
1	5.911764705882353	68	3.0
2	5.203431372549019	204	2.0
3	5.0640692640692615	385	2.0
4	4.868055555555555	468	1.75
5	4.917916666666668	480	1.3999999999999995
6	4.975235849056607	424	1.166666666666667
7	5.020304568527923	394	1.0
8	5.1104651162790695	387	1.25
9	5.080301540478534	339	1.0
10	5.085942492012778	313	1.0999999999999996
11	5.141078838174274	241	1.0
12	5.1581196581196584	234	0.9166666666666661
13	5.144325971058644	202	0.9807692307692308
14	5.114992150706438	182	0.8392857142857135
15	5.0887323943661995	142	0.9333333333333336
16	5.148148148148148	135	0.9375
17	5.0735294117647065	104	0.8235294117647056
18	5.22091503267974	85	0.8888888888888893
19	5.189359267734552	92	0.7105263157894735
20	5.4163934426229545	61	0.7000000000000002
21	5.392063492063494	60	0.6904761904761907
22	5.334879406307978	49	0.7727272727272734
23	5.489702517162472	38	0.8478260869565215
24	5.292857142857141	35	0.666666666666667
25	5.221333333333333	30	0.8900000000000006
26	5.284119106699751	31	0.6923076923076916
27	4.970017636684303	21	0.7037037037037033
28	5.095238095238094	15	0.4999999999999991
29	5.15024630541872	14	0.7155172413793105
30	5.170238095238095	28	0.5749999999999993
31	5.39516129032258	8	0.862903225806452
32	5.526041666666667	6	0.4765625
33	5.486443381180223	19	0.8484848484848477
34	5.213235294117647	4	0.28676470588235325
35	5.499999999999999	10	0.39285714285714324
36	5.5	9	0.7777777777777777
37	5.571428571428571	7	0.4729729729729737
38	5.5855263157894735	4	0.7171052631578947
39	5.378205128205128	4	0.5576923076923075
40	5.741666666666666	6	0.6937500000000005
41	5.4731707317073175	5	0.463414634146341
44	4.772727272727273	3	0.6590909090909092
45	6.0888888888888895	4	0.5555555555555554
46	6.4021739130434785	4	0.9239130434782608
47	5.702127659574468	2	0.2340425531914896
48	5.604166666666667	2	0.1875
49	5.688775510204081	4	0.8010204081632653
50	5.9	1	0.0
51	5.490196078431373	1	0.0
52	5.852564102564102	3	0.3173076923076934
53	5.622641509433962	1	0.0
54	5.157407407407407	2	0.009259259259259522
57	5.12280701754386	1	0.0
58	5.666666666666667	3	0.1034482758620685
59	5.627118644067797	2	0.0
60	5.525	2	0.04166666666666696
61	5.754098360655737	2	0.16393442622950882
63	5.2063492063492065	1	0.0
70	6.114285714285714	1	0.0
71	5.295774647887324	1	0.0
78	5.282051282051282	1	0.0
82	6.073170731707317	1	0.0
94	5.882978723404255	1	0.0
105	4.9904761904761905	1	0.0
106	5.867924528301887	1	0.0
115	5.469565217391304	1	0.0
165	6.763636363636364	1	0.0
