u1	u2	nobservations	iqr
1	8.64935064935065	231	4.0
2	5.890410958904109	365	2.0
3	5.686224489795917	392	1.75
4	5.601129363449692	487	1.5
5	5.5913934426229535	488	1.4000000000000004
6	5.5105994152046796	456	1.333333333333334
7	5.5328443877551	448	1.2857142857142865
8	5.49290780141844	423	1.25
9	5.582905982905983	325	1.1111111111111107
10	5.647852760736198	326	1.1000000000000005
11	5.488736926790021	226	1.2727272727272725
12	5.610229276895945	189	1.166666666666667
13	5.4815184815184805	154	1.0384615384615383
14	5.635105204872647	129	1.0
15	5.591228070175441	114	0.9666666666666668
16	5.554775280898877	89	0.9375
17	5.484635645302895	67	0.7352941176470598
18	5.692760942760942	66	0.7638888888888893
19	5.63157894736842	56	0.8552631578947372
20	5.52972972972973	37	0.9000000000000004
21	5.643537414965989	35	0.8095238095238093
22	5.784090909090908	20	0.5909090909090908
23	5.41304347826087	18	0.5869565217391308
24	5.666666666666667	19	0.770833333333333
25	5.59	8	0.3700000000000001
26	5.3901098901098905	14	0.7019230769230766
27	5.59567901234568	12	0.9351851851851851
28	5.46031746031746	9	0.75
29	5.702586206896552	8	0.9827586206896557
30	5.3181818181818175	11	0.4833333333333325
31	5.32258064516129	6	0.48387096774193594
32	5.578125	4	0.515625
33	6.363636363636363	1	0.0
34	5.3088235294117645	2	0.13235294117647012
35	5.6761904761904765	3	0.5428571428571427
36	6.416666666666667	1	0.0
37	5.108108108108108	2	0.7027027027027035
38	5.7105263157894735	1	0.0
39	5.666666666666667	1	0.0
41	6.365853658536586	2	0.12195121951219523
44	5.954545454545454	1	0.0
45	5.7555555555555555	1	0.0
46	5.8478260869565215	1	0.0
49	5.612244897959184	1	0.0
