u1	u2	nobservations	iqr
1	3.933428775948461	6985	3.0
2	5.1235859728506785	1768	2.5
3	4.931827431827431	1638	2.3333333333333335
4	5.099264705882353	1088	2.0
5	5.336315789473678	760	1.5999999999999996
6	5.342136150234746	568	1.333333333333333
7	5.360091743119262	436	1.4285714285714288
8	5.357486263736264	364	1.28125
9	5.341630591630594	308	1.333333333333333
10	5.336437246963559	247	1.1499999999999995
11	5.374561061256334	233	1.0909090909090908
12	5.361353711790393	229	1.083333333333334
13	5.204244031830239	174	1.0
14	5.446540880503142	159	1.0
15	5.409649122807014	152	0.9500000000000002
16	5.50206611570248	121	0.8125
17	5.35158891142664	87	0.7941176470588234
18	5.38707729468599	92	0.833333333333333
19	5.490662139219015	93	0.9473684210526319
20	5.303086419753087	81	0.6499999999999995
21	5.458235753317719	61	0.9047619047619051
22	5.378787878787879	54	0.8750000000000009
23	5.338065661047027	49	0.5217391304347823
24	5.14047619047619	35	1.020833333333334
25	5.430857142857143	35	0.7999999999999998
26	5.547337278106507	26	0.9134615384615383
27	5.3181818181818175	22	0.7592592592592586
28	5.192546583850932	23	0.6250000000000009
29	5.424764890282131	22	0.4913793103448283
30	5.09	10	0.36666666666666714
31	5.408602150537634	15	0.48387096774193594
32	5.635416666666667	12	0.5
33	5.6115702479338845	11	0.42424242424242475
34	5.625668449197861	11	0.5
35	5.635714285714285	4	0.7928571428571427
36	5.347222222222221	6	0.958333333333333
38	5.473684210526315	2	0.2631578947368416
39	5.6752136752136755	3	0.5
40	5.55	5	0.47500000000000053
41	5.536585365853658	1	0.0
42	5.666666666666667	1	0.0
45	5.6	1	0.0
46	5.695652173913044	1	0.0
