u1	u2	nobservations	iqr
1	5.881481481481481	1755	6.0
2	5.9785026737967915	4675	6.0
3	4.916135881104024	4710	4.333333333333334
4	4.4679510929974064	2699	3.0
5	4.049801587301588	1008	2.8000000000000003
6	3.764705882352939	306	2.333333333333333
7	3.425499231950843	93	1.8571428571428572
8	2.962962962962963	27	1.5625
9	3.380952380952381	7	1.1666666666666665
10	1.742857142857143	7	0.5
12	1.0833333333333335	2	0.08333333333333326
13	1.0	1	0.0
18	1.4444444444444444	1	0.0
22	1.0909090909090908	1	0.0
33	1.6666666666666667	1	0.0
38	1.0526315789473684	1	0.0
