u1	u2	nobservations	iqr
1	2.573995088535608	15474	3.0
2	3.3401251526251525	6552	1.5
3	3.2241959064327554	4560	1.333333333333333
4	3.2942218798151	3245	1.0
5	3.227426536064114	2246	1.0
6	3.330091533180784	1748	0.833333333333333
7	3.295852534562208	1395	0.8571428571428572
8	3.2532894736842106	1216	0.75
9	3.2891566265060255	996	0.7777777777777777
10	3.287137891077634	863	0.7000000000000002
11	3.268900742115026	784	0.6363636363636362
12	3.3017241379310325	638	0.5833333333333335
13	3.298257109160003	587	0.6153846153846154
14	3.281141595711132	453	0.6428571428571432
15	3.295783611774065	419	0.5666666666666664
16	3.3142538265306123	392	0.5625
17	3.3077217857827175	307	0.47058823529411775
18	3.2967269595176596	258	0.5555555555555554
19	3.2697634775197093	247	0.5263157894736841
20	3.3016949152542385	236	0.4500000000000002
21	3.2549659863945575	175	0.4761904761904763
22	3.278030303030302	180	0.4545454545454546
23	3.286123405363187	167	0.4782608695652173
24	3.2657407407407413	135	0.375
25	3.276330275229357	109	0.43999999999999995
26	3.2830188679245293	106	0.4230769230769229
27	3.318607764390894	83	0.4814814814814814
28	3.3868274582560294	77	0.5714285714285712
29	3.3533069530808364	61	0.44827586206896575
30	3.2923497267759565	61	0.3666666666666667
31	3.256564141035258	43	0.3870967741935485
32	3.295138888888889	36	0.4453125
33	3.2739393939393944	25	0.4242424242424243
34	3.3468137254901955	24	0.36764705882352944
35	3.3673469387755106	28	0.3642857142857143
36	3.2453703703703707	24	0.31944444444444464
37	3.477477477477478	12	0.3783783783783785
38	3.2006578947368416	16	0.2828947368421053
39	3.27991452991453	12	0.15384615384615374
40	3.305	15	0.17500000000000027
41	3.3577235772357725	6	0.40853658536585336
42	3.3666666666666663	10	0.3273809523809521
43	3.196013289036545	7	0.43023255813953476
44	3.320707070707071	9	0.4772727272727275
45	3.2851851851851848	6	0.08333333333333304
46	3.3043478260869565	2	0.5434782608695654
47	3.5	2	0.010638297872340274
48	3.368055555555556	3	0.17708333333333348
50	3.41	2	0.029999999999999805
52	3.0384615384615383	1	0.0
53	3.2830188679245285	1	0.0
54	3.2222222222222223	1	0.0
