u1	u2	nobservations	iqr
1	2.7777777777777777	27	2.5
2	4.354838709677419	31	1.75
3	3.8166666666666673	40	1.7500000000000004
4	3.807142857142857	35	1.125
5	3.9200000000000004	70	0.8000000000000003
6	3.836917562724014	93	0.8333333333333335
7	3.8615160349854216	98	0.8571428571428572
8	3.9114077669902914	103	0.8125
9	3.8843069873997726	97	0.7777777777777777
10	3.862222222222222	90	0.8000000000000003
11	3.8455228981544773	133	0.8181818181818179
12	3.795165394402037	131	0.7083333333333335
13	3.817470664928292	118	0.7692307692307696
14	3.857142857142856	139	0.7142857142857144
15	3.8381551362683415	159	0.5666666666666664
16	3.8153248587570623	177	0.625
17	3.829773250082155	179	0.5882352941176467
18	3.8076131687242785	162	0.5972222222222219
19	3.8074616922051963	158	0.5789473684210522
20	3.784062500000002	160	0.6499999999999995
21	3.7842565597667632	147	0.5
22	3.8649276859504123	176	0.5
23	3.8227239971174622	181	0.43478260869565233
24	3.750000000000001	165	0.5
25	3.805986394557823	147	0.5799999999999996
26	3.772317188983856	162	0.5288461538461537
27	3.7965399610136443	152	0.5555555555555558
28	3.8222464558342413	131	0.589285714285714
29	3.83462846041768	142	0.4482758620689653
30	3.806603773584906	106	0.4916666666666667
31	3.7671598350715487	133	0.4516129032258065
32	3.8060344827586206	145	0.46875
33	3.7831088664421992	108	0.39393939393939403
34	3.7922113289760353	108	0.4191176470588238
35	3.815314285714285	125	0.3999999999999999
36	3.8168168168168175	111	0.4027777777777777
37	3.7532005689900414	114	0.3716216216216215
38	3.820326678765881	116	0.4013157894736845
39	3.83089905874716	79	0.4230769230769229
40	3.802247191011237	89	0.42500000000000027
41	3.7400356930398586	82	0.41463414634146334
42	3.7897303499713137	83	0.3928571428571428
43	3.7648214870619054	71	0.44186046511627897
44	3.7754914004914	74	0.3181818181818179
45	3.7863492063492044	70	0.4666666666666668
46	3.8120401337792647	65	0.34782608695652195
47	3.7668628338614756	47	0.31914893617021267
48	3.805059523809523	56	0.42708333333333304
49	3.7277252364360374	41	0.2857142857142856
50	3.7470270270270265	37	0.2999999999999998
51	3.7493872549019605	32	0.37745098039215685
52	3.811020710059172	52	0.34615384615384626
53	3.742138364779873	48	0.3207547169811322
54	3.753086419753086	42	0.3611111111111116
55	3.798525798525797	37	0.3090909090909091
56	3.7467532467532467	33	0.2678571428571428
57	3.764302059496567	23	0.30701754385964897
58	3.8158866995073883	28	0.19827586206896575
59	3.7427716849451644	34	0.398305084745763
60	3.7654320987654324	27	0.2666666666666666
61	3.676544766708701	26	0.30327868852458995
62	3.6577840112201963	23	0.41129032258064546
63	3.9028944911297847	17	0.46031746031746
64	3.7578125	16	0.47265625
65	3.5846153846153843	9	0.1538461538461542
66	3.892773892773893	13	0.13636363636363624
67	3.7876004592422494	13	0.3432835820895521
68	3.6732026143790852	9	0.33823529411764675
69	3.72463768115942	12	0.2898550724637685
70	3.6809523809523808	12	0.2714285714285718
71	3.8743228602383537	13	0.28169014084507094
72	3.824786324786324	13	0.23611111111111116
73	3.849315068493151	9	0.26027397260273943
74	3.882882882882883	6	0.14189189189189166
75	3.91	8	0.19666666666666632
76	3.8957489878542506	13	0.3289473684210531
77	3.7324675324675325	5	0.06493506493506462
78	3.6837606837606836	6	0.3557692307692313
79	3.9873417721518987	3	0.06329113924050667
80	3.8285714285714283	7	0.4624999999999999
81	4.0432098765432105	2	0.043209876543209624
82	3.6991869918699187	6	0.1158536585365848
83	3.8072289156626504	3	0.07228915662650603
84	3.7551020408163263	7	0.1904761904761907
85	3.652941176470588	2	0.1470588235294117
86	3.4186046511627906	2	0.04651162790697683
87	3.755747126436782	4	0.20977011494252817
88	3.5454545454545454	1	0.0
89	3.8146067415730336	2	0.08426966292134797
90	3.5555555555555554	2	0.10000000000000009
91	3.652014652014652	3	0.34065934065934034
92	3.9239130434782608	2	0.10869565217391308
93	3.827956989247312	1	0.0
94	3.822695035460993	3	0.15957446808510634
95	3.8631578947368426	7	0.2631578947368425
96	3.96875	1	0.0
97	3.634020618556701	4	0.329896907216495
98	3.6020408163265305	1	0.0
99	3.6262626262626263	1	0.0
100	3.7350000000000003	2	0.17500000000000027
102	3.8333333333333335	1	0.0
103	3.4466019417475726	1	0.0
104	3.8269230769230766	2	0.0769230769230771
105	3.676190476190476	1	0.0
106	3.8443396226415096	2	0.051886792452830566
108	3.7746913580246915	3	0.42592592592592604
110	4.109090909090909	2	0.23636363636363678
111	3.7162162162162162	2	0.2207207207207209
114	4.021929824561403	2	0.09210526315789513
117	3.8974358974358974	1	0.0
118	3.610169491525424	1	0.0
121	3.760330578512397	1	0.0
123	3.5040650406504064	1	0.0
124	4.088709677419355	1	0.0
127	3.874015748031496	1	0.0
131	3.648854961832061	1	0.0
143	3.832167832167832	1	0.0
