u1	u2	nobservations	iqr
1	3.5843895800933128	51440	2.0
2	4.14859818805093	16336	1.5
3	4.0983046924723725	11522	1.3333333333333335
4	4.1641279237655215	6926	1.25
5	4.176999392589599	4939	0.9999999999999996
6	4.182858197250674	3613	1.0000000000000004
7	4.186116341798567	2807	1.0
8	4.156856796116505	2060	1.0
9	4.152930031127345	1642	0.8888888888888888
10	4.1362994350282385	1416	0.8999999999999995
11	4.0757071547420916	1202	0.8181818181818179
12	4.075421940928271	1106	0.8333333333333335
13	4.047518746313929	913	0.6923076923076925
14	4.045930841774363	818	0.714285714285714
15	4.0193548387096785	713	0.6666666666666665
16	4.050131184407796	667	0.6875
17	4.033851276359601	530	0.6911764705882346
18	4.000129500129502	429	0.6111111111111112
19	4.032388663967609	468	0.6315789473684212
20	3.992840375586852	426	0.6000000000000001
21	4.05482950277903	317	0.6190476190476186
22	3.973981191222571	290	0.6249999999999996
23	3.9779809665982464	233	0.5652173913043481
24	3.994742990654206	214	0.5416666666666665
25	3.9832183908046006	174	0.56
26	4.006134969325152	163	0.5576923076923075
27	4.024769992922857	157	0.4814814814814814
28	3.9218750000000004	112	0.535714285714286
29	3.9360079575596822	104	0.5172413793103448
30	3.9690140845070423	71	0.5166666666666666
31	4.030671602326811	61	0.5161290322580641
32	4.017708333333333	60	0.5078125
33	4.037337662337661	56	0.5151515151515151
34	3.978328173374614	38	0.492647058823529
35	4.063025210084033	34	0.41428571428571415
36	4.061111111111111	25	0.6388888888888884
37	3.9811985898942415	23	0.35135135135135087
38	4.2213622291021675	17	0.5000000000000004
39	4.041514041514041	21	0.4615384615384617
40	3.9571428571428577	14	0.5812499999999998
41	4.804878048780488	3	0.5
42	4.136904761904762	4	0.5297619047619042
43	4.119601328903655	7	0.43023255813953476
44	3.8238636363636367	4	0.24431818181818166
45	4.211111111111111	2	0.0777777777777775
46	4.268115942028985	6	0.6358695652173916
47	4.23404255319149	1	0.0
48	4.6875	2	0.9375
49	4.408163265306122	1	0.0
51	4.098039215686274	1	0.0
52	4.115384615384615	1	0.0
60	4.766666666666667	1	0.0
68	4.985294117647059	1	0.0
99	3.6565656565656566	1	0.0
