u1	u2	nobservations	iqr
1	6.7	160	4.25
2	5.964406779661017	295	2.5
3	6.098911968348168	337	2.666666666666666
4	5.944584382871536	397	2.25
5	6.1243654822335	394	1.9500000000000002
6	6.217017954722873	427	1.833333333333334
7	6.263320463320465	370	1.8571428571428577
8	6.2900684931506845	365	1.75
9	6.249648382559771	316	1.4444444444444446
10	6.389138576779023	267	1.3999999999999995
11	6.3990610328638455	213	1.3636363636363633
12	6.53719397363465	177	1.333333333333334
13	6.643054786939679	139	1.1538461538461542
14	6.269448373408772	101	1.0
15	6.375	80	1.1499999999999995
16	6.439365671641791	67	1.0625
17	6.4089184060721065	62	1.3382352941176467
18	6.55464480874317	61	1.166666666666667
19	6.430983118172788	53	1.0
20	6.475862068965519	29	0.8499999999999996
21	6.451499118165784	27	1.1428571428571423
22	6.45887445887446	21	0.5909090909090908
23	6.354691075514873	19	0.9347826086956523
24	6.361111111111111	6	0.39583333333333304
25	6.44	12	0.5999999999999988
26	6.361538461538461	10	0.6923076923076925
27	6.888888888888889	6	0.6296296296296298
28	7.214285714285714	3	0.5714285714285721
29	6.520689655172414	10	1.155172413793104
30	6.977777777777778	3	0.016666666666666607
31	5.548387096774194	2	0.032258064516128115
32	6.2578125	4	0.4296875
33	6.424242424242424	2	0.18181818181818254
35	6.314285714285714	1	0.0
36	6.569444444444445	2	0.20833333333333304
37	6.0675675675675675	2	0.06756756756756666
38	6.421052631578947	2	0.31578947368420973
41	6.2682926829268295	1	0.0
43	6.186046511627907	1	0.0
53	5.6415094339622645	1	0.0
