u1	u2	nobservations	iqr
1	7.571428571428571	7	4.0
2	5.214285714285714	7	0.5
3	5.944444444444444	6	1.583333333333333
4	5.96875	24	1.25
5	5.683870967741934	31	2.1999999999999993
6	6.219696969696969	44	1.375
7	6.282142857142857	40	1.7857142857142865
8	6.168269230769231	52	2.0
9	6.477777777777776	60	1.833333333333333
10	6.1772727272727295	66	1.6749999999999998
11	6.252199413489738	62	1.2727272727272725
12	6.409465020576133	81	1.166666666666666
13	6.7135627530364355	76	1.4807692307692308
14	6.216165413533835	76	1.0892857142857135
15	6.24327485380117	57	1.4000000000000004
16	6.448863636363637	66	1.28125
17	6.340120663650073	78	1.0441176470588234
18	6.420634920634923	70	1.541666666666667
19	6.282507739938081	68	0.9605263157894735
20	6.330508474576271	59	1.049999999999999
21	6.361247947454844	58	1.1190476190476195
22	6.433948863636364	64	0.9659090909090908
23	6.278985507246376	60	1.0978260869565224
24	6.286111111111109	45	0.75
25	6.364912280701755	57	1.2000000000000002
26	6.515182186234818	38	1.2788461538461533
27	6.37962962962963	32	1.0462962962962958
28	6.208035714285713	40	1.1517857142857135
29	6.210344827586208	30	0.9655172413793105
30	6.135238095238096	35	0.75
31	6.248655913978496	24	0.782258064516129
32	6.488888888888889	45	0.71875
33	6.507936507936508	21	1.121212121212121
34	6.372122762148337	23	0.6470588235294112
35	6.317582417582418	26	0.7285714285714286
36	6.106944444444444	20	0.7708333333333339
37	6.578696343402225	17	0.7297297297297298
38	6.555137844611529	21	0.5
39	6.531468531468531	11	0.5256410256410255
40	6.273214285714286	14	0.6999999999999993
41	6.4446529080675425	13	0.5121951219512191
42	5.9226190476190474	8	0.5297619047619051
43	6.212624584717608	7	0.1511627906976747
44	6.090909090909091	3	0.31818181818181834
45	5.977777777777777	7	0.48888888888888893
46	6.178260869565217	5	0.6521739130434785
47	6.73758865248227	3	0.44680851063829774
48	6.149305555555556	6	0.3802083333333339
49	6.581632653061225	2	0.3979591836734695
50	6.167999999999999	5	0.5999999999999996
51	6.1307189542483655	3	0.6078431372549016
52	6.25	1	0.0
53	5.591194968553459	3	0.04716981132075482
54	6.62037037037037	2	0.7314814814814818
55	5.927272727272728	2	0.27272727272727426
56	5.964285714285714	1	0.0
57	6.254385964912281	2	0.18421052631579116
59	6.338983050847458	1	0.0
60	5.7	1	0.0
61	6.688524590163935	1	0.0
62	6.467741935483871	1	0.0
65	6.2153846153846155	1	0.0
67	6.552238805970149	2	0.2835820895522385
