u1	u2	nobservations	iqr
1	2.881753627662859	9717	1.0
2	3.0333527277705525	29218	2.5
3	2.8550387407025855	40827	2.0
4	2.91326735225873	34909	2.25
5	3.0262589448419583	22499	2.1999999999999997
6	3.1764722972776718	11473	2.166666666666667
7	3.3175664610513684	5234	2.2857142857142856
8	3.4481614447345517	2298	2.375
9	3.4121297271982116	949	2.4444444444444446
10	3.315873015873019	441	2.2
11	3.4442959001782554	204	2.454545454545454
12	2.902912621359222	103	2.208333333333333
13	3.198838896952104	53	2.5384615384615383
14	3.2053571428571432	32	3.1071428571428568
15	2.6888888888888887	21	1.2666666666666668
16	2.960227272727273	11	2.3125
17	1.1176470588235294	2	0.11764705882352944
18	2.555555555555556	3	1.1666666666666665
19	2.3333333333333335	3	0.9210526315789471
20	1.6	1	0.0
21	2.238095238095238	1	0.0
26	1.826923076923077	2	0.25
35	1.0285714285714285	1	0.0
51	1.0	1	0.0
