u1	u2	nobservations	iqr
1	3.721758077959169	351543	3.0
2	4.840360250747216	75614	2.5
3	4.70018802911307	37051	1.6666666666666665
4	4.638311197239684	21157	1.5
5	4.5135259705726	16923	1.2000000000000002
6	4.436523228430737	14013	1.1666666666666665
7	4.388928919058995	11301	1.1428571428571423
8	4.424328307448135	8821	1.0
9	4.401747398968837	7198	1.1111111111111116
10	4.43497095435686	6025	1.0000000000000004
11	4.397755102040814	4900	0.9090909090909092
12	4.417604790419159	4175	0.9166666666666665
13	4.402591857213004	3603	0.8461538461538463
14	4.424586916392779	3173	0.8571428571428572
15	4.438763971071666	2535	0.8666666666666667
16	4.417808600713013	2244	0.875
17	4.459736685742881	1881	0.8235294117647056
18	4.419799498746868	1596	0.7777777777777777
19	4.449090364602831	1406	0.7894736842105265
20	4.3887291981845635	1322	0.7999999999999998
21	4.42610229276896	1080	0.7142857142857144
22	4.420777799880648	914	0.7272727272727266
23	4.429822710004227	824	0.695652173913043
24	4.513511904761902	700	0.71875
25	4.473753943217665	634	0.6799999999999997
26	4.498978897208982	565	0.7307692307692308
27	4.479506172839507	450	0.666666666666667
28	4.503571428571428	380	0.6785714285714288
29	4.469851666345594	358	0.6896551724137927
30	4.424516129032262	310	0.7000000000000002
31	4.497099094917615	278	0.7016129032258069
32	4.430426954732511	243	0.65625
33	4.456645664566457	202	0.7575757575757578
34	4.46683006535948	180	0.6176470588235299
35	4.470714285714288	160	0.6714285714285717
36	4.495796783625728	152	0.7222222222222223
37	4.484638484638485	117	0.6486486486486491
38	4.58048032703117	103	0.723684210526315
39	4.562148962148962	105	0.5897435897435894
40	4.4675324675324655	77	0.5499999999999998
41	4.51604621309371	76	0.44512195121951237
42	4.576066790352506	77	0.6428571428571432
43	4.550528541226215	55	0.5465116279069759
44	4.647727272727272	40	0.5568181818181817
45	4.690476190476191	56	0.6611111111111114
46	4.565918653576438	31	0.4565217391304355
47	4.428191489361702	48	0.5053191489361701
48	4.593749999999999	26	0.7708333333333339
49	4.568707482993196	30	0.7500000000000009
50	4.534193548387097	31	0.6099999999999994
51	4.782475490196078	32	0.916666666666667
52	4.689560439560439	14	0.6298076923076925
53	4.453878406708594	18	0.43867924528301927
54	4.566137566137566	14	0.24074074074074048
55	4.6836363636363645	15	0.9636363636363638
56	4.392857142857143	16	0.4910714285714288
57	4.93859649122807	16	0.39912280701754366
58	4.456896551724137	8	0.2844827586206886
59	4.38861985472155	14	0.89406779661017
60	4.525000000000001	12	0.6875
61	4.598360655737705	6	0.44262295081967284
62	4.910394265232975	9	0.24193548387096797
63	5.120634920634921	5	0.26984126984126977
64	4.8125	3	0.5859375
65	4.507692307692308	4	0.546153846153846
66	4.5606060606060606	1	0.0
67	4.811940298507463	5	0.29850746268656714
68	4.392156862745098	9	0.16176470588235325
69	4.289855072463768	2	0.1449275362318838
70	4.607142857142857	4	0.25
71	4.859154929577465	1	0.0
72	4.979166666666666	2	0.27083333333333304
73	4.527397260273972	2	0.14383561643835652
74	4.256756756756757	1	0.0
75	4.746666666666667	1	0.0
76	4.480263157894736	2	0.04605263157894779
78	4.846153846153846	1	0.0
79	5.1265822784810124	1	0.0
80	5.1125	1	0.0
85	4.411764705882353	2	0.0
89	4.966292134831461	1	0.0
92	5.0978260869565215	1	0.0
93	5.064516129032258	1	0.0
100	4.71	1	0.0
