u1	u2	nobservations	iqr
1	7.906943748956769	11982	5.0
2	6.41747232184625	12826	3.5
3	6.032331070158411	9279	3.0
4	5.871426276903309	6226	2.5
5	5.817683239364427	3902	2.2
6	5.748319748319751	2331	2.0
7	5.8110282574568375	1456	2.0
8	5.80749718151071	887	1.875
9	5.950495049504948	606	1.8888888888888884
10	6.002185792349724	366	1.8999999999999995
11	5.970611285266456	232	1.8181818181818183
12	5.889957264957265	156	1.666666666666666
13	5.872240802675585	115	1.8461538461538458
14	6.254733218588641	83	1.4285714285714288
15	6.016949152542373	59	1.7666666666666666
16	5.978618421052632	38	1.625
17	6.047438330170778	31	1.4705882352941169
18	5.888888888888888	19	0.9444444444444446
19	6.9425837320574155	11	1.526315789473684
20	6.277272727272727	11	1.2000000000000002
21	6.450216450216451	11	1.2142857142857135
22	6.1688311688311686	7	1.2272727272727266
23	7.282608695652174	2	0.36956521739130466
24	6.1944444444444455	3	0.6875
25	5.952	5	0.7199999999999998
26	6.661538461538461	5	0.6538461538461542
27	5.037037037037036	5	0.8518518518518521
29	4.827586206896552	1	0.0
30	6.2	1	0.0
31	5.655913978494624	3	0.5806451612903221
32	8.5	2	0.78125
34	6.647058823529412	1	0.0
42	5.964285714285714	2	0.4404761904761916
