u1	u2	nobservations	iqr
1	3.6250208646302786	11982	1.0
2	3.60166848588804	12826	1.5
3	3.5967237848906226	9279	1.0
4	3.6232733697398007	6226	1.0
5	3.6257303946693997	3902	1.0
6	3.623838123838122	2331	0.8333333333333335
7	3.651295133437991	1456	0.7142857142857144
8	3.6598083427282977	887	0.875
9	3.6655665566556643	606	0.7777777777777777
10	3.7628415300546436	366	0.7999999999999998
11	3.6445924764890303	232	0.7272727272727271
12	3.64636752136752	156	0.583333333333333
13	3.5772575250836116	115	0.5769230769230771
14	3.714285714285714	83	0.5714285714285712
15	3.75819209039548	59	0.7666666666666666
16	3.6776315789473686	38	0.8125
17	3.59582542694497	31	0.3529411764705883
18	3.584795321637427	19	0.3888888888888893
19	3.875598086124401	11	0.8421052631578947
20	3.8409090909090904	11	0.6999999999999997
21	3.6753246753246747	11	0.45238095238095255
22	3.597402597402597	7	0.5454545454545454
23	3.2608695652173916	2	0.08695652173913127
24	3.7916666666666665	3	0.10416666666666696
25	3.6719999999999997	5	0.2799999999999998
26	3.707692307692308	5	0.1923076923076925
27	3.185185185185185	5	0.2592592592592591
29	3.3448275862068964	1	0.0
30	3.2	1	0.0
31	3.3333333333333335	3	0.032258064516129004
32	3.75	2	0.03125
34	3.823529411764706	1	0.0
42	3.083333333333333	2	0.22619047619047628
