u1	u2	nobservations	iqr
1	7.046590909090909	880	4.0
2	6.493150684931507	1898	2.0
3	6.425340136054419	1960	2.0
4	6.249134520276954	2022	1.5
5	6.145769421078685	2021	1.3999999999999995
6	6.101013171225931	1645	1.5
7	6.006594898651937	1473	1.1428571428571423
8	5.927127659574468	1175	1.125
9	5.915667854443363	1029	1.1111111111111116
10	5.9487861271676215	865	1.0
11	5.887674825174828	624	1.1818181818181817
12	5.870334620334614	518	1.0
13	5.875897435897435	450	0.9230769230769225
14	5.775710284113647	357	0.9285714285714288
15	5.834782608695652	253	1.0666666666666664
16	5.707746478873239	213	0.9375
17	5.825708061002177	162	0.867647058823529
18	5.848200312989045	142	0.8888888888888884
19	5.839712918660285	110	0.9342105263157894
20	5.794495412844035	109	0.9000000000000004
21	5.757369614512471	63	0.9761904761904763
22	5.895161290322584	62	0.6818181818181817
23	5.639386189258311	51	0.8478260869565215
24	5.852777777777776	45	0.9583333333333339
25	5.864999999999999	40	0.6500000000000012
26	5.777972027972028	22	0.85576923076923
27	5.825185185185185	25	0.8518518518518521
28	5.525974025974026	22	0.5
29	5.899014778325123	14	0.75
30	5.874999999999999	12	0.5
31	5.580645161290322	10	0.612903225806452
32	5.721153846153846	13	0.5
33	5.7272727272727275	9	0.6363636363636367
34	5.575630252100839	7	0.3235294117647056
35	5.076190476190476	3	0.371428571428571
36	5.23015873015873	7	1.1805555555555554
37	6.198198198198198	6	0.6959459459459456
38	5.947368421052631	3	0.28947368421052566
39	5.762820512820513	4	0.21153846153846168
40	5.65	1	0.0
41	6.097560975609756	4	0.463414634146341
42	6.095238095238095	3	0.2857142857142856
43	6.093023255813954	2	0.37209302325581284
45	5.466666666666667	1	0.0
46	6.065217391304348	1	0.0
48	5.770833333333333	1	0.0
49	4.8979591836734695	1	0.0
51	5.5588235294117645	2	0.00980392156862564
52	4.538461538461538	1	0.0
54	5.685185185185185	2	0.8333333333333321
58	5.603448275862069	2	0.2758620689655169
59	5.491525423728813	1	0.0
62	6.290322580645161	1	0.0
70	6.085714285714285	1	0.0
80	6.3	1	0.0
84	5.5	1	0.0
92	4.456521739130435	1	0.0
