u1	u2	nobservations	iqr
1	5.302689068059998	22201	2.0
2	5.692723342939481	6940	2.5
3	5.660864872158095	4941	2.0
4	5.72234239802225	3236	1.75
5	5.816460247702748	2503	1.5999999999999996
6	5.839788416711491	1859	1.333333333333333
7	5.911609498680752	1516	1.2857142857142856
8	5.898794934640523	1224	1.25
9	5.904243975261243	1042	1.1111111111111116
10	5.916111707841026	931	1.1000000000000005
11	5.881148059173091	719	1.1818181818181817
12	5.920969592656332	581	1.083333333333333
13	5.941846153846154	500	1.0
14	5.904939587775408	402	0.9285714285714279
15	5.8762681159420245	368	0.9333333333333327
16	5.850593065693431	274	0.9375
17	5.8611950709137375	253	0.9411764705882346
18	5.869636963696369	202	0.875
19	5.925438596491225	156	0.8947368421052628
20	5.939843749999998	128	0.8124999999999991
21	5.833540372670809	115	0.9523809523809517
22	6.008359456635319	87	0.795454545454545
23	5.846484165324745	81	0.7826086956521738
24	5.768229166666667	48	0.885416666666667
25	5.978181818181818	44	0.7600000000000007
26	5.869963369963368	42	0.7019230769230775
27	5.92929292929293	33	0.7037037037037042
28	5.710459183673469	28	0.7767857142857144
29	5.812997347480105	26	1.137931034482759
30	6.029761904761904	28	0.6666666666666661
31	5.7685009487666035	17	0.48387096774193505
32	6.15625	20	0.6953125
33	5.601010101010101	6	0.5151515151515156
34	5.546568627450981	12	0.9558823529411766
35	6.003571428571429	8	0.5928571428571425
36	5.652777777777779	6	0.666666666666667
37	6.54054054054054	3	0.8918918918918912
38	6.350877192982456	3	0.5
39	5.602564102564102	2	0.24358974358974272
40	5.94	5	1.2000000000000002
41	5.219512195121951	2	0.8048780487804876
42	6.261904761904762	2	0.07142857142857117
44	6.0	1	0.0
46	5.391304347826087	1	0.0
49	6.387755102040817	2	0.06122448979591777
54	6.111111111111111	1	0.0
57	5.7894736842105265	1	0.0
67	4.313432835820896	1	0.0
