u1	u2	nobservations	iqr
1	11.431256181998021	2022	7.0
2	7.880408361691784	2057	4.0
3	6.620877817319101	1405	2.666666666666667
4	6.00501179245283	848	2.75
5	5.498337292161517	421	2.2
6	5.285974499089252	183	2.4999999999999996
7	5.543956043956043	78	2.1428571428571423
8	5.6104651162790695	43	2.25
9	4.930041152263375	27	1.7222222222222228
10	5.688888888888889	9	0.5999999999999996
11	5.878787878787879	9	1.4545454545454541
12	6.916666666666667	1	0.0
13	6.3076923076923075	2	0.23076923076923084
14	7.928571428571429	2	2.7142857142857135
17	9.058823529411764	1	0.0
