u1	u2	nobservations	iqr
1	5.867924528301887	265	3.0
2	4.440451745379876	974	1.5
3	4.319828115408225	1086	1.6666666666666665
4	4.522988505747127	1131	1.75
5	4.563433476394852	1165	1.4000000000000004
6	4.5299815498155	1084	1.1666666666666665
7	4.604472297393525	1003	1.285714285714286
8	4.744465442764579	926	1.25
9	4.708915952488351	739	1.1111111111111116
10	4.7247706422018325	654	1.1000000000000005
11	4.8229485869935305	534	1.1818181818181817
12	4.850459039548026	472	1.166666666666667
13	4.966821639898567	364	1.0769230769230766
14	4.8980463980463975	351	1.1071428571428577
15	4.93858267716535	254	1.1333333333333337
16	4.964566929133858	254	0.9375
17	5.021739130434783	184	1.0
18	5.010530137981118	153	1.0555555555555554
19	5.098031337886704	131	0.947368421052631
20	5.094758064516127	124	0.875
21	5.116465863453816	83	0.9761904761904763
22	5.087272727272728	75	0.8636363636363633
23	5.163192376414534	73	0.8260869565217384
24	5.046511627906975	43	1.25
25	5.209756097560976	41	1.08
26	4.917582417582416	28	1.0673076923076925
27	5.441176470588236	34	0.8333333333333339
28	5.012422360248446	23	1.0892857142857135
29	5.206896551724137	17	0.8620689655172411
30	5.294736842105263	19	0.7333333333333343
31	5.3112903225806445	20	0.9032258064516121
32	5.302083333333333	12	0.6875
33	5.31129476584022	22	0.7272727272727275
34	4.7818627450980395	12	0.3088235294117645
35	5.044155844155844	11	0.47142857142857153
36	5.344444444444444	10	0.9513888888888884
37	4.702702702702703	4	0.6891891891891886
38	6.1	5	0.5789473684210531
39	5.5025641025641026	5	1.1025641025641022
40	5.645833333333333	6	0.6062499999999993
41	4.4573170731707314	4	0.3963414634146343
42	4.880952380952381	1	0.0
43	4.488372093023256	1	0.0
44	6.068181818181818	1	0.0
45	5.911111111111111	1	0.0
46	4.8478260869565215	2	0.13043478260869534
51	4.431372549019608	2	0.117647058823529
52	5.25	1	0.0
61	4.622950819672131	1	0.0
62	6.112903225806452	1	0.0
74	4.324324324324325	1	0.0
84	5.190476190476191	1	0.0
88	3.8181818181818183	1	0.0
