u1	u2	nobservations	iqr
1	3.526645584446006	17076	2.0
2	4.646356345885635	5736	2.0
3	4.728716528162495	3610	2.0000000000000004
4	4.738095238095238	2478	1.75
5	4.805714285714289	1715	1.7999999999999998
6	4.773098519652885	1306	1.5
7	4.751369950299477	1121	1.4285714285714288
8	4.797261009667024	931	1.25
9	4.790625441197236	787	1.333333333333334
10	4.7506042296072515	662	1.2000000000000002
11	4.756831070630688	529	1.1818181818181817
12	4.799804687500005	512	1.166666666666666
13	4.859877211989888	426	1.1346153846153841
14	4.842229199372056	364	1.2142857142857144
15	4.893571428571427	280	1.2000000000000002
16	4.861940298507463	268	1.0
17	4.828523862375138	212	1.117647058823529
18	4.824942129629631	192	1.1111111111111107
19	4.829740012682304	166	1.0526315789473681
20	4.755743243243241	148	1.0
21	4.866522366522367	132	0.9166666666666661
22	4.850723140495868	88	0.8749999999999991
23	4.859954233409613	95	0.804347826086957
24	4.768192488262914	71	0.9375
25	4.87873015873016	63	0.8200000000000003
26	4.848557692307692	48	0.89423076923077
27	4.849382716049382	60	0.9629629629629637
28	4.844246031746031	36	0.8214285714285712
29	4.885057471264367	42	0.6465517241379315
30	4.749333333333334	25	0.7000000000000002
31	4.983870967741935	30	0.806451612903226
32	4.891129032258065	31	0.734375
33	5.002754820936638	22	0.9090909090909083
34	4.69264705882353	20	1.0661764705882355
35	4.627142857142857	20	0.7785714285714285
36	4.677777777777778	10	0.4652777777777777
37	4.891891891891892	8	0.5472972972972974
38	4.267543859649122	6	0.5394736842105265
39	4.695156695156695	9	0.2564102564102564
40	4.6625	4	0.7374999999999998
41	4.597560975609756	2	0.8902439024390247
42	4.353174603174604	6	0.23809523809523725
43	4.658914728682171	3	0.4534883720930232
44	5.2727272727272725	2	0.15909090909090917
45	4.644444444444445	1	0.0
47	5.276595744680851	1	0.0
48	4.354166666666666	2	0.08333333333333304
49	3.836734693877551	1	0.0
51	4.627450980392157	1	0.0
70	4.385714285714286	1	0.0
82	5.134146341463414	1	0.0
