u1	u2	nobservations	iqr
1	12.423203691496374	1517	11.0
2	9.09457714654616	1549	5.5
3	8.02528276779773	1002	4.0
4	7.241935483870968	527	3.375
5	6.6129554655870475	247	2.5999999999999996
6	6.714285714285711	105	2.0
7	6.943521594684388	43	2.2857142857142847
8	6.875	20	2.59375
9	7.4444444444444455	12	3.083333333333333
10	7.220000000000001	5	2.5
11	8.000000000000002	3	2.045454545454545
12	9.916666666666668	2	0.8333333333333339
13	7.230769230769231	2	2.2307692307692317
14	5.5	1	0.0
15	9.666666666666666	2	0.0
16	12.625	1	0.0
20	11.95	1	0.0
33	8.575757575757576	1	0.0
