u1	u2	nobservations	iqr
1	3.050758075148319	1517	2.0
2	3.171723692704971	1549	1.5
3	3.2272122421823037	1002	1.0
4	3.1888045540796965	527	0.75
5	3.1352226720647787	247	0.8000000000000003
6	3.180952380952382	105	0.6666666666666665
7	3.235880398671097	43	0.5
8	3.05	20	0.75
9	3.3148148148148144	12	0.49999999999999956
10	2.66	5	0.19999999999999973
11	3.696969696969697	3	0.7727272727272725
12	3.208333333333333	2	0.20833333333333348
13	3.423076923076923	2	0.11538461538461542
14	3.2857142857142856	1	0.0
15	3.333333333333333	2	0.3333333333333335
16	2.75	1	0.0
20	3.6	1	0.0
33	3.1515151515151514	1	0.0
