u1	u2	nobservations	iqr
1	5.409090909090909	22	2.75
2	5.355263157894737	38	2.0
3	5.141025641025642	78	2.333333333333333
4	4.513513513513513	111	1.875
5	4.435555555555557	135	1.4
6	4.327114427860697	134	1.1666666666666665
7	4.336438923395443	138	1.0
8	4.598404255319149	141	1.25
9	4.480963480963483	143	1.2222222222222219
10	4.618125000000001	160	1.0999999999999996
11	4.835906232132653	159	1.2727272727272725
12	4.830103359173124	129	1.166666666666667
13	4.67466927976482	157	1.0
14	4.857494722026744	203	1.2142857142857135
15	4.851024208566107	179	0.9333333333333327
16	4.878246753246753	154	0.984375
17	4.7200377477194095	187	1.0
18	4.869426751592358	157	1.0555555555555554
19	4.86432748538012	180	0.8947368421052637
20	4.888861386138615	202	1.0500000000000007
21	4.791919191919193	165	0.8571428571428577
22	4.920245398773003	163	0.9090909090909092
23	4.9216672655407825	121	0.9130434782608701
24	4.895363408521305	133	1.041666666666667
25	4.7818487394958	119	0.8799999999999999
26	4.832264957264956	108	1.1346153846153841
27	4.909739368998627	135	1.1481481481481488
28	4.881795195954488	113	1.0357142857142865
29	4.881069669247009	98	0.8189655172413799
30	4.965020576131686	81	0.7666666666666666
31	4.845161290322579	120	0.846774193548387
32	4.923455056179775	89	0.90625
33	4.95579322638146	85	0.9393939393939394
34	4.825439266615737	77	0.882352941176471
35	4.905418719211823	87	0.9142857142857137
36	4.810789049919483	69	0.8611111111111116
37	4.865268253327955	67	0.6891891891891895
38	4.858253588516746	44	0.7368421052631575
39	4.878542510121459	38	0.8525641025641022
40	5.11346153846154	39	0.9000000000000004
41	4.8394308943089435	36	0.8902439024390247
42	5.009803921568627	34	0.7261904761904754
43	4.864042933810375	26	0.5930232558139537
44	4.731671554252199	31	0.8181818181818183
45	4.546031746031746	14	0.5666666666666664
46	4.721227621483375	17	0.5869565217391308
47	4.202127659574468	8	0.3829787234042552
48	4.666666666666667	7	0.4895833333333339
49	4.691609977324262	9	0.22448979591836693
50	4.776666666666667	6	0.29499999999999993
51	4.94553376906318	9	0.7254901960784315
52	4.788461538461538	4	0.4711538461538467
53	4.903301886792453	8	0.2735849056603774
54	4.652777777777779	8	0.49537037037037024
55	4.227272727272727	2	0.10000000000000053
56	4.821428571428571	1	0.0
57	4.842105263157895	3	0.6052631578947372
58	3.9310344827586206	3	0.4051724137931032
59	4.745762711864407	1	0.0
60	4.320833333333333	4	0.2791666666666668
61	4.6844262295081975	4	0.7745901639344259
62	4.30241935483871	4	0.03629032258064502
63	4.396825396825397	1	0.0
65	4.219230769230769	4	0.4499999999999993
66	4.222222222222222	3	0.07575757575757525
68	4.102941176470588	2	0.17647058823529438
69	4.521739130434782	1	0.0
71	4.676056338028169	1	0.0
72	4.9259259259259265	3	0.604166666666667
73	3.835616438356164	1	0.0
76	4.184210526315789	2	0.1578947368421062
77	4.876623376623376	2	0.967532467532469
79	4.341772151898734	1	0.0
80	4.38125	2	0.2312499999999993
84	4.404761904761905	1	0.0
86	4.992248062015505	3	0.1860465116279073
87	4.344827586206897	1	0.0
91	5.021978021978022	1	0.0
102	4.715686274509804	1	0.0
108	4.787037037037037	1	0.0
109	5.224770642201835	2	0.7018348623853203
111	4.648648648648648	1	0.0
118	4.389830508474576	1	0.0
123	3.9430894308943087	1	0.0
129	4.263565891472868	1	0.0
145	4.572413793103449	2	0.05517241379310267
161	4.39751552795031	1	0.0
202	5.227722772277228	1	0.0
239	4.02510460251046	1	0.0
283	4.5371024734982335	1	0.0
