u1	u2	nobservations	iqr
1	10.254638694638695	10725	8.0
2	8.93436706322684	7481	5.0
3	7.853712412712	4678	4.333333333333333
4	7.282527550657661	2813	3.75
5	6.865603328710123	1442	3.1999999999999993
6	6.802278820375329	746	3.166666666666666
7	6.72727272727273	330	3.0
8	6.484375	144	2.5
9	6.2727272727272725	66	2.2777777777777777
10	6.373529411764706	34	2.2249999999999996
11	7.0578512396694215	11	3.6363636363636367
12	7.575	10	2.583333333333333
13	6.128205128205128	6	2.1923076923076925
14	6.2714285714285705	5	1.0714285714285712
15	4.966666666666667	2	0.5
16	5.125	3	0.46875
17	6.088235294117647	2	0.735294117647058
20	2.0	1	0.0
24	4.916666666666667	1	0.0
