u1	u2	nobservations	iqr
1	4.982832618025751	233	6.0
2	4.857014388489208	556	2.625
3	5.469221835075498	287	2.333333333333334
4	5.1061789772727275	704	1.75
5	4.954862842892763	802	1.3999999999999995
6	4.861706125516723	887	1.333333333333333
7	4.851509935847283	913	1.2857142857142856
8	4.7289046121593294	954	1.125
9	4.766449746926967	922	1.0
10	4.738648947951273	903	1.0999999999999996
11	4.7718114335293516	943	1.0909090909090908
12	4.744262295081975	915	1.041666666666666
13	4.759477567636334	907	1.0769230769230766
14	4.763961398512895	903	1.0714285714285712
15	4.745930018416203	905	0.8000000000000007
16	4.740287663107948	843	0.9375
17	4.758101674090004	766	0.882352941176471
18	4.798446203459391	758	0.8888888888888893
19	4.7658526848093725	791	0.8947368421052628
20	4.754318488529014	741	0.8500000000000005
21	4.7873644507307835	707	0.7619047619047619
22	4.72130200308166	708	0.7727272727272725
23	4.717716740432184	668	0.7391304347826093
24	4.718122489959841	664	0.75
25	4.70121510673235	609	0.6399999999999997
26	4.7407704654895655	623	0.7307692307692308
27	4.728784443070163	539	0.7777777777777777
28	4.716658117466018	557	0.75
29	4.711906571764219	499	0.7586206896551726
30	4.727149321266969	442	0.6333333333333329
31	4.763151668112628	409	0.580645161290323
32	4.802373417721519	395	0.8125
33	4.701569916027749	415	0.6969696969696972
34	4.7376470588235255	325	0.6470588235294112
35	4.764471243042672	308	0.6571428571428566
36	4.767429193899786	306	0.6874999999999991
37	4.71870426383062	277	0.6216216216216219
38	4.710175438596488	300	0.5328947368421053
39	4.769602378298032	276	0.5641025641025639
40	4.753514056224897	249	0.6499999999999995
41	4.767722817415093	214	0.6646341463414629
42	4.745227123107307	217	0.5952380952380949
43	4.7371972526810495	193	0.558139534883721
44	4.777272727272728	210	0.6079545454545459
45	4.710288065843622	189	0.6666666666666661
46	4.757269454444752	157	0.7173913043478262
47	4.79110251450677	165	0.6382978723404262
48	4.686929223744293	146	0.5416666666666661
49	4.781820622986037	152	0.5561224489795924
50	4.82969696969697	132	0.4800000000000004
51	4.799927378358752	108	0.666666666666667
52	4.815149136577707	98	0.6634615384615374
53	4.743396226415095	105	0.4905660377358494
54	4.716498316498315	110	0.6018518518518512
55	4.751755175517553	101	0.5090909090909088
56	4.7607973421926895	86	0.5178571428571432
57	4.737064179435929	79	0.5263157894736841
58	4.686302681992337	72	0.4568965517241388
59	4.682808716707021	70	0.4152542372881358
60	4.702307692307693	65	0.41666666666666696
61	4.81437578814628	65	0.5245901639344268
62	4.655401945724529	63	0.41935483870967794
63	4.784313725490197	51	0.5
64	4.788690476190476	42	0.49609375
65	4.574265734265732	55	0.6692307692307695
66	4.738720538720539	45	0.3939393939393936
67	4.781906792567772	49	0.4925373134328357
68	4.731158088235295	32	0.6286764705882346
69	4.72323515661524	31	0.6739130434782599
70	4.672000000000001	25	0.4571428571428573
71	4.2690626517727095	58	1.0352112676056335
72	4.7326388888888875	28	0.5000000000000009
73	4.640056683986775	29	0.5753424657534243
74	4.802423112767941	29	0.45945945945945965
75	4.767843137254902	17	0.45333333333333314
76	4.76140350877193	15	0.47368421052631504
77	4.700216450216451	12	0.6980519480519485
78	4.895463510848126	13	0.5384615384615383
79	4.765822784810127	18	0.30063291139240444
80	4.688888888888889	18	0.6843750000000011
81	4.618106995884774	15	0.17283950617283939
82	4.635501355013551	9	0.6829268292682924
83	4.863762743280815	13	0.2530120481927707
84	4.6345238095238095	10	0.4702380952380958
85	4.684313725490195	12	0.25588235294117645
86	4.684883720930232	10	0.5029069767441854
87	4.848932676518884	14	0.5718390804597702
88	4.717171717171718	9	0.4772727272727275
89	4.431460674157303	5	0.2921348314606744
90	4.794444444444445	10	0.08333333333333393
91	4.653846153846154	6	0.45879120879120894
92	4.557971014492754	6	0.36141304347826075
93	4.537634408602151	1	0.0
94	4.75177304964539	9	0.44680851063829863
95	4.860526315789474	4	0.707894736842106
96	4.575520833333333	4	0.2682291666666661
97	4.665979381443298	5	0.12371134020618602
98	4.680272108843537	3	0.17346938775510168
99	4.722222222222222	6	0.3964646464646462
100	5.1	1	0.0
101	4.673267326732673	4	0.5
102	4.367647058823529	2	0.15196078431372495
103	5.051779935275081	3	0.3640776699029127
104	5.016025641025641	3	0.1875
105	4.621428571428572	4	0.34999999999999964
106	4.894339622641509	5	0.14150943396226356
107	4.635514018691588	1	0.0
108	4.729629629629629	5	0.4259259259259256
109	4.660550458715596	1	0.0
110	5.236363636363636	2	0.0
111	4.63063063063063	2	0.07207207207207311
112	4.4375	2	0.0
113	4.765486725663717	2	0.9690265486725664
114	4.842105263157895	1	0.0
115	4.6579710144927535	3	0.09999999999999964
116	4.413793103448276	1	0.0
118	4.725988700564972	3	0.4237288135593218
119	4.512605042016807	1	0.0
120	4.808333333333334	2	0.29999999999999893
121	4.694214876033058	2	0.6528925619834718
126	4.2063492063492065	1	0.0
128	5.0	2	0.171875
129	4.674418604651163	1	0.0
130	4.588461538461539	2	0.12692307692307736
132	4.53030303030303	1	0.0
134	4.492537313432836	1	0.0
135	4.57037037037037	3	0.13333333333333375
144	4.079861111111111	2	0.12847222222222232
146	4.835616438356165	1	0.0
148	4.851351351351352	1	0.0
152	4.75	1	0.0
157	4.414012738853503	1	0.0
158	4.537974683544304	1	0.0
161	4.3478260869565215	2	0.0
165	5.709090909090909	1	0.0
171	5.43859649122807	1	0.0
183	5.508196721311475	1	0.0
223	5.42152466367713	1	0.0
267	4.749063670411985	2	0.0
