u1	u2	nobservations	iqr
1	3.3187919463087248	2384	2.0
2	3.2446213425129087	2324	1.5
3	3.1319030591974544	1678	1.0
4	3.033349101229896	1057	1.0
5	2.916819571865443	654	0.7999999999999998
6	2.868868868868871	333	1.0
7	2.881330309901739	189	0.8571428571428572
8	2.82	100	0.625
9	2.7995642701525054	51	0.6666666666666665
10	2.766666666666666	33	0.8000000000000003
11	2.7482517482517483	13	0.7272727272727271
12	2.708333333333333	8	0.3125
13	2.723076923076923	5	0.3846153846153846
16	3.0416666666666665	3	0.25
18	2.2222222222222223	1	0.0
