u1	u2	nobservations	iqr
1	2.7142857142857144	14	2.5
2	2.1724137931034484	58	1.0
3	2.0355191256830607	122	0.6666666666666667
4	1.9074675324675325	154	0.5
5	1.800966183574879	207	0.3999999999999999
6	1.807443365695794	206	0.5
7	1.785974025974026	275	0.2857142857142858
8	1.761200716845878	279	0.5
9	1.7457493080268878	281	0.33333333333333326
10	1.744863013698629	292	0.3999999999999999
11	1.7311767986614617	326	0.36363636363636376
12	1.714898177920686	311	0.33333333333333326
13	1.711924178972891	349	0.3076923076923077
14	1.7120465741155402	319	0.2857142857142858
15	1.7053291536050168	319	0.2666666666666666
16	1.7265365448504983	301	0.25
17	1.7106375484325436	334	0.3529411764705883
18	1.6888125238640692	291	0.2777777777777777
19	1.6999641962047976	294	0.3157894736842104
20	1.6729965156794422	287	0.22499999999999987
21	1.7088585434173647	272	0.3333333333333335
22	1.6999633431085044	248	0.2727272727272727
23	1.6924991702621996	262	0.21739130434782594
24	1.7081310679611648	206	0.23958333333333348
25	1.668807339449542	218	0.19999999999999996
26	1.6813929313929314	222	0.23076923076923062
27	1.6642948367086288	203	0.2592592592592591
28	1.6552404881550615	199	0.2142857142857142
29	1.674497915877226	182	0.24137931034482762
30	1.7045454545454546	154	0.2916666666666665
31	1.654790563312471	134	0.19354838709677424
32	1.68125	135	0.265625
33	1.6544435956200652	119	0.21212121212121215
34	1.6807879114948738	109	0.26470588235294135
35	1.6698412698412701	90	0.25
36	1.6471902937420173	87	0.18055555555555558
37	1.65129835718071	102	0.18918918918918926
38	1.6686159844054576	81	0.23684210526315796
39	1.6715176715176716	74	0.1794871794871793
40	1.6711038961038962	77	0.19999999999999996
41	1.6977209116353467	61	0.19512195121951215
42	1.6329849012775846	41	0.19047619047619047
43	1.6511627906976745	41	0.18604651162790686
44	1.6165377176015472	47	0.21590909090909105
45	1.6242063492063488	56	0.19999999999999996
46	1.6657608695652173	40	0.22282608695652173
47	1.6557059961315275	33	0.17021276595744683
48	1.6268115942028984	23	0.125
49	1.6858917480035496	23	0.20408163265306145
50	1.6565714285714286	35	0.25
51	1.6521739130434783	23	0.12745098039215708
52	1.638313609467456	26	0.1875
53	1.61771944216571	23	0.2264150943396226
54	1.5925925925925926	18	0.08333333333333326
55	1.7287878787878785	12	0.2954545454545452
56	1.6845238095238095	12	0.3482142857142856
57	1.5736842105263158	10	0.09210526315789469
58	1.6189655172413797	20	0.23275862068965503
59	1.6758474576271187	8	0.19067796610169485
60	1.646969696969697	11	0.06666666666666665
61	1.6229508196721312	9	0.18032786885245922
62	1.467741935483871	1	0.0
63	1.653968253968254	5	0.26984126984126977
64	1.6145833333333333	3	0.125
65	1.6461538461538463	3	0.13076923076923075
66	1.5165289256198344	11	0.10606060606060597
67	1.5572139303482586	3	0.029850746268656803
69	1.5193236714975846	6	0.1557971014492756
70	1.6047619047619046	3	0.09285714285714275
71	1.7136150234741783	3	0.316901408450704
72	1.652777777777778	4	0.24305555555555558
75	1.5666666666666667	2	0.18000000000000016
77	1.5909090909090908	2	0.16233766233766245
79	1.7257383966244728	3	0.39240506329113956
80	1.5625	1	0.0
81	1.8024691358024691	1	0.0
82	1.5365853658536586	2	0.012195121951219523
84	1.6547619047619047	2	0.01190476190476164
87	1.4942528735632183	1	0.0
91	1.521978021978022	2	0.027472527472527597
94	1.9095744680851063	2	0.0585106382978724
95	1.4842105263157894	1	0.0
102	1.6666666666666667	1	0.0
105	1.7619047619047619	1	0.0
106	1.6603773584905661	1	0.0
109	1.3944954128440368	1	0.0
111	1.7567567567567568	1	0.0
122	1.4344262295081966	1	0.0
126	1.5873015873015872	1	0.0
