u1	u2	nobservations	iqr
1	5.99581589958159	239	4.0
2	6.001282051282051	390	2.0
3	6.127906976744182	344	2.0
4	6.127510040160643	249	2.0
5	6.296969696969694	198	1.75
6	6.461152882205514	133	2.0
7	6.577443609022556	95	1.5
8	6.585416666666666	60	1.40625
9	6.5962059620596225	41	1.333333333333333
10	6.291304347826087	23	1.5500000000000007
11	6.145454545454545	15	1.0454545454545467
12	6.527777777777778	6	0.4375
13	5.256410256410256	3	0.4615384615384617
14	5.321428571428571	2	0.17857142857142794
15	7.040000000000001	5	0.6666666666666661
16	6.0625	1	0.0
17	6.470588235294118	1	0.0
18	5.648148148148148	3	1.583333333333333
19	6.105263157894737	1	0.0
23	5.478260869565218	1	0.0
