u1	u2	nobservations	iqr
1	5.555972147830745	1867	3.0
2	6.0326223337515685	797	2.5
3	6.412135539795115	423	2.666666666666667
4	6.496651785714286	224	2.0625
5	6.434710743801655	121	2.5999999999999996
6	6.31623931623932	78	1.666666666666667
7	6.260651629072683	57	1.7142857142857144
8	6.351190476190476	21	1.25
9	6.209876543209877	18	1.8888888888888893
10	6.814285714285714	7	1.2999999999999998
11	6.818181818181818	2	0.8181818181818183
12	5.166666666666667	4	1.375
13	5.923076923076923	1	0.0
14	6.571428571428571	1	0.0
15	4.844444444444445	3	0.6999999999999993
