u1	u2	nobservations	iqr
1	4.5	6	2.25
2	5.5	40	1.625
3	5.893518518518517	72	1.75
4	5.8825	100	1.3125
5	5.93833333333333	120	1.450000000000001
6	6.369047619047618	112	2.0
7	6.417487684729066	116	1.6071428571428568
8	6.326822916666667	96	1.78125
9	6.434722222222223	80	1.4444444444444438
10	6.273684210526316	57	1.2000000000000002
11	6.18409090909091	40	1.0909090909090908
12	6.3633333333333315	25	1.166666666666667
13	5.853479853479854	21	1.0
14	6.175324675324675	22	0.9464285714285712
15	6.266666666666667	11	2.2333333333333334
16	6.1477272727272725	11	0.71875
17	5.932773109243698	7	0.8823529411764701
18	5.666666666666667	8	1.6944444444444446
19	6.536842105263157	5	1.6315789473684212
20	7.0	1	0.0
21	5.904761904761905	5	0.2857142857142856
22	6.0	3	0.7272727272727275
23	5.956521739130435	7	1.5652173913043477
24	6.041666666666667	3	0.10416666666666607
28	5.5	1	0.0
32	5.71875	1	0.0
