u1	u2	nobservations	iqr
1	7.402640264026402	303	3.0
2	5.519157088122605	261	2.0
3	4.638497652582161	426	1.6666666666666665
4	4.5424791086350975	359	1.0
5	4.258091286307053	241	1.1999999999999997
6	4.204841713221604	179	1.0000000000000004
7	4.057667103538663	109	0.8571428571428572
8	4.15625	56	0.875
9	3.982456140350876	19	1.0555555555555554
10	4.3533333333333335	15	0.7999999999999998
11	4.306818181818182	8	0.9318181818181825
12	4.666666666666666	7	1.6250000000000009
13	3.6923076923076925	1	0.0
14	4.857142857142857	2	0.9285714285714288
15	5.022222222222222	3	0.7333333333333334
16	5.395833333333333	3	0.8125
17	3.9411764705882355	1	0.0
18	4.055555555555555	1	0.0
19	4.105263157894737	1	0.0
