u1	u2	nobservations	iqr
1	7.916666666666667	12	5.25
2	5.918181818181818	55	2.5
3	5.032558139534883	215	2.0
4	4.7269736842105265	228	1.25
5	4.410666666666666	225	1.0
6	4.4404761904761925	210	1.1666666666666665
7	4.211059907834103	155	1.0714285714285712
8	4.095	100	1.0
9	3.976608187134504	57	0.7777777777777777
10	3.962162162162163	37	0.5
11	4.096774193548387	31	0.6363636363636367
12	4.1631944444444455	24	0.7708333333333335
13	4.181818181818182	11	1.1923076923076925
14	4.165178571428571	16	0.46428571428571397
15	4.526666666666667	10	0.8000000000000007
16	4.25	13	0.5625
17	4.303921568627451	6	0.9411764705882346
18	4.3	5	0.0
19	4.25	4	0.5394736842105265
20	4.571428571428571	7	0.25
21	4.301587301587301	3	0.6428571428571423
22	3.909090909090909	1	0.0
24	4.208333333333334	4	0.29166666666666696
25	4.0600000000000005	2	0.21999999999999975
26	4.346153846153846	1	0.0
27	4.0	1	0.0
29	5.0344827586206895	1	0.0
31	3.967741935483871	1	0.0
