u1	u2	nobservations	iqr
1	7.7207207207207205	222	3.0
2	6.257225433526012	346	2.5
3	5.754098360655737	305	2.333333333333333
4	5.236666666666666	300	1.75
5	5.330864197530864	243	1.5999999999999996
6	5.345454545454546	165	1.833333333333333
7	5.283353010625738	121	1.2857142857142856
8	5.208333333333333	72	1.375
9	5.671604938271605	45	1.333333333333333
10	5.426470588235294	34	1.5749999999999993
11	5.617224880382775	19	1.59090909090909
12	5.571428571428571	14	1.520833333333334
13	5.52991452991453	9	0.6923076923076916
14	5.446428571428572	4	0.5178571428571432
15	5.5	8	1.3499999999999996
16	5.875	1	0.0
17	5.588235294117647	1	0.0
19	4.868421052631579	2	0.2368421052631584
20	5.6	2	0.6000000000000005
