u1	u2	nobservations	iqr
1	4.756371049949031	2943	3.0
2	5.443385650224215	892	2.5
3	5.587424633936266	387	2.333333333333334
4	5.541062801932367	207	2.125
5	5.560283687943262	141	1.6000000000000005
6	5.5400843881856545	79	1.833333333333333
7	5.5599078341013835	62	1.5357142857142865
8	5.677083333333333	24	1.65625
9	5.777777777777778	26	2.0
10	5.595833333333332	24	1.875
11	5.303030303030304	6	1.2272727272727275
12	5.666666666666667	1	0.0
13	5.969230769230769	5	0.4615384615384617
14	4.25	2	0.25
15	6.466666666666667	2	1.3999999999999995
