u1	u2	nobservations	iqr
1	3.0748772417862638	94902	2.0
2	2.9489727970010113	40547	1.0
3	3.0174953512814118	20615	0.666666666666667
4	3.027813419880746	13249	1.0
5	3.0347035915188125	9244	0.7999999999999998
6	3.027793876171174	6902	0.666666666666667
7	3.037361370374434	5204	0.714285714285714
8	3.0304909560723514	3870	0.75
9	3.027544507893845	2977	0.666666666666667
10	3.005807303123626	2273	0.5999999999999996
11	3.029834426741647	1746	0.5454545454545459
12	3.0260134262845386	1291	0.5
13	3.033930042693434	1027	0.5384615384615383
14	3.0212832225913604	688	0.5714285714285712
15	3.0295138888888875	576	0.4666666666666668
16	3.003807106598985	394	0.5
17	3.00123839009288	285	0.5294117647058822
18	3.066840277777778	192	0.5
19	2.9529352226720653	104	0.5263157894736845
20	2.994285714285714	70	0.4874999999999998
21	3.023302938196556	47	0.3333333333333335
22	3.053929121725731	59	0.4772727272727275
23	3.1436100131752305	33	0.39130434782608736
24	2.9852941176470593	17	0.41666666666666696
25	2.94	10	0.41000000000000014
26	3.0726495726495724	9	0.19230769230769207
27	3.142857142857143	7	0.3888888888888884
28	3.1666666666666665	3	0.03571428571428603
30	2.9833333333333334	2	0.15000000000000036
31	2.838709677419355	1	0.0
33	3.484848484848485	1	0.0
38	3.473684210526316	1	0.0
