u1	u2	nobservations	iqr
1	6.0109786106378955	5283	4.0
2	4.335547962541129	7902	2.5
3	3.7132471728594574	7428	1.6666666666666665
4	3.2903903378260106	5713	1.5
5	3.0312824719715628	3657	1.2000000000000002
6	2.7807228915662687	2075	0.833333333333333
7	2.567626290059749	1052	0.5714285714285716
8	2.421474358974359	468	0.625
9	2.2829386763812987	183	0.44444444444444486
10	2.3883333333333345	60	0.3999999999999999
11	2.3315508021390374	17	0.5454545454545456
12	2.305555555555556	3	0.9583333333333333
13	1.6153846153846154	1	0.0
14	3.9285714285714284	2	0.42857142857142794
