u1	u2	nobservations	iqr
1	2.4980124929017604	5283	1.0
2	2.086876740065806	7902	1.0
3	1.949874349308928	7428	0.6666666666666667
4	1.837607211622615	5713	0.75
5	1.7686628383921257	3657	0.6000000000000001
6	1.6780722891566258	2075	0.33333333333333326
7	1.6019826181423147	1052	0.4285714285714286
8	1.5592948717948718	468	0.375
9	1.539769277474195	183	0.3333333333333335
10	1.5249999999999997	60	0.3999999999999999
11	1.4973262032085561	17	0.36363636363636376
12	1.527777777777778	3	0.41666666666666674
13	1.2307692307692308	1	0.0
14	1.9642857142857144	2	0.10714285714285765
