u1	u2	nobservations	iqr
1	5.819444444444445	72	2.0
2	4.279220779220779	77	1.5
3	4.426997245179061	121	1.6666666666666665
4	4.183098591549296	142	1.25
5	3.9292307692307697	130	1.3999999999999995
6	4.013333333333333	125	1.1666666666666665
7	4.262422360248448	92	1.7142857142857149
8	4.346052631578948	95	1.25
9	4.135021097046412	79	0.833333333333333
10	4.377464788732396	71	0.9500000000000002
11	4.291595197255572	53	1.0909090909090913
12	4.277777777777778	33	0.8333333333333335
13	4.423076923076923	18	1.4230769230769234
14	4.097402597402597	11	0.7142857142857144
15	4.388888888888888	12	0.666666666666667
16	4.03125	2	0.65625
17	4.235294117647059	3	0.9999999999999991
18	4.291666666666666	4	0.5138888888888884
19	5.315789473684211	1	0.0
20	3.5999999999999996	3	0.6500000000000004
21	3.9047619047619047	1	0.0
22	4.545454545454546	1	0.0
26	3.8076923076923075	1	0.0
