u1	u2	nobservations	iqr
2	4.5	2	0.5
3	4.2592592592592595	9	1.6666666666666665
4	3.9722222222222223	9	0.75
5	4.818181818181818	11	1.7000000000000002
6	4.314102564102563	26	1.0416666666666665
7	4.6626139817629175	47	2.071428571428571
8	4.74537037037037	54	0.46875
9	4.370833333333332	80	0.8888888888888888
10	4.298571428571431	70	0.9000000000000004
11	4.324675324675323	63	0.954545454545455
12	4.207602339181288	57	0.666666666666667
13	4.155925155925156	37	0.9999999999999996
14	4.133540372670808	23	0.8928571428571432
15	4.004761904761905	28	0.9166666666666665
16	3.8526785714285716	28	0.8125
17	4.038539553752536	29	0.5882352941176467
18	4.222222222222222	11	0.833333333333333
19	4.059210526315789	8	0.5921052631578947
20	3.8125	8	0.4874999999999998
21	3.928571428571429	8	0.7738095238095246
22	4.072727272727272	5	0.6818181818181817
23	4.057971014492754	3	0.3043478260869561
24	3.59375	4	0.30208333333333304
25	3.52	1	0.0
26	3.692307692307692	3	0.11538461538461497
27	3.740740740740741	1	0.0
28	3.75	2	0.5
33	4.03030303030303	1	0.0
34	3.5882352941176467	2	0.17647058823529393
37	3.4324324324324325	1	0.0
44	3.409090909090909	1	0.0
45	3.2888888888888888	1	0.0
