u1	u2	nobservations	iqr
1	2.760211226514179	34276	2.0
2	2.8865785589076483	43356	2.5
3	2.9931300915426755	39690	2.333333333333333
4	2.9362263640230464	25861	1.75
5	3.1583789047868582	13349	1.9999999999999998
6	3.3225264169068227	5552	2.0
7	3.5703141324789294	2051	2.1428571428571432
8	3.6496132208157523	711	2.125
9	4.017226528854441	258	2.3055555555555554
10	3.9402366863905303	169	2.2
11	4.021251475796931	77	1.4545454545454546
12	3.3911290322580645	62	2.0833333333333335
13	3.3626373626373627	56	1.75
14	3.3017492711370253	49	1.2857142857142856
15	3.5381642512077294	69	0.7333333333333334
16	3.4166666666666665	6	0.4375
17	6.294117647058823	1	0.0
18	2.888888888888889	1	0.0
19	3.789473684210526	1	0.0
