u1	u2	nobservations	iqr
1	4.389454009414754	245572	2.0
2	5.437804136253042	78912	2.5
3	5.79488503454051	42607	2.0
4	5.665989452753523	23134	1.75
5	5.629730368968702	16912	1.6000000000000005
6	5.596494515653465	13341	1.5
7	5.685470659889965	10203	1.4285714285714288
8	5.610202912228664	7417	1.375
9	5.611536643026008	5875	1.2222222222222223
10	5.614182895850975	4724	1.2000000000000002
11	5.5838272225012595	3620	1.0909090909090908
12	5.581814667550255	3018	1.166666666666667
13	5.608567480423766	2505	1.0769230769230775
14	5.63425704730052	2093	1.071428571428572
15	5.606650544135422	1654	1.0666666666666673
16	5.5642578125	1280	1.0
17	5.566463944396176	1151	1.0
18	5.608766994842936	948	0.8888888888888884
19	5.562336477030726	865	0.947368421052631
20	5.615922619047617	672	0.9500000000000002
21	5.576095554500871	602	0.9047619047619051
22	5.599808061420343	521	0.9090909090909092
23	5.575514874141878	418	0.8695652173913047
24	5.64148681055156	417	0.791666666666667
25	5.591420612813371	359	0.8399999999999999
26	5.580469962314339	347	0.7692307692307692
27	5.615276175829809	289	0.6296296296296289
28	5.566026410564228	238	0.7053571428571432
29	5.539219401288369	182	0.6551724137931032
30	5.68121212121212	165	0.7999999999999998
31	5.536059174029175	157	0.741935483870968
32	5.577244718309859	142	0.71875
33	5.566091954022986	116	0.7348484848484853
34	5.525522605736507	121	0.6764705882352935
35	5.499107142857142	96	0.685714285714285
36	5.447002923976607	76	0.7222222222222223
37	5.523501762632197	92	0.7297297297297298
38	5.509210526315787	80	0.5328947368421053
39	5.58596048759983	61	0.5641025641025639
40	5.484935897435897	78	0.6624999999999996
41	5.358885017421603	49	0.8780487804878048
42	5.383673469387754	70	0.6071428571428577
43	5.521120075937351	49	0.6511627906976738
44	5.447588126159556	49	0.6363636363636367
45	5.411347517730499	47	0.5666666666666673
46	5.547101449275362	24	0.445652173913043
47	5.5650118203309695	36	0.6861702127659575
48	5.6254734848484835	44	0.651041666666667
49	5.35135135135135	37	0.32653061224489743
50	5.640487804878049	41	0.40000000000000036
51	5.530718954248365	30	0.651960784313725
52	5.583916083916083	22	0.490384615384615
53	5.48045822102426	28	0.33962264150943344
54	5.374338624338626	28	0.6018518518518521
55	5.519272727272726	25	0.40000000000000036
56	5.574999999999999	20	0.36160714285714235
57	5.302631578947369	12	0.27192982456140413
58	5.213793103448276	10	0.7413793103448274
59	5.672750977835723	13	0.40677966101694896
60	5.33	10	0.4041666666666668
61	5.408196721311475	10	0.528688524590164
62	5.377880184331798	7	0.637096774193548
63	5.46984126984127	5	0.15873015873015817
64	5.609375	4	0.546875
65	5.436923076923078	10	0.46923076923076845
66	4.865800865800866	7	0.7424242424242431
67	4.58955223880597	2	0.06716417910447703
68	5.637254901960785	3	0.007352941176471006
69	5.588405797101449	5	0.23188405797101463
70	5.2214285714285715	6	0.25
71	5.45774647887324	2	0.13380281690140894
72	5.295138888888889	4	0.44791666666666785
73	5.082191780821918	3	0.2808219178082183
74	5.353603603603603	6	1.0236486486486474
75	5.239999999999999	3	0.7599999999999998
76	5.118421052631579	2	0.21052631578947434
79	5.8734177215189876	1	0.0
80	4.575	2	0.26250000000000107
81	4.345679012345679	1	0.0
82	4.463414634146342	1	0.0
84	4.753968253968254	3	0.14880952380952372
85	5.035294117647059	2	0.8705882352941172
86	5.482558139534884	2	0.5290697674418601
87	4.954022988505747	1	0.0
88	5.943181818181818	1	0.0
104	4.730769230769231	1	0.0
105	4.847619047619047	1	0.0
112	4.508928571428571	1	0.0
121	4.371900826446281	1	0.0
125	6.136	1	0.0
158	5.012658227848101	1	0.0
162	4.191358024691358	1	0.0
170	4.547058823529412	1	0.0
229	4.213973799126638	1	0.0
