u1	u2	nobservations	iqr
1	5.462102849656076	15265	4.0
2	5.1373928335898	13647	2.5
3	4.404075716234648	11728	2.333333333333333
4	4.550787137832859	5971	1.75
5	4.559293394777269	3906	1.8000000000000003
6	4.610379241516973	2505	1.666666666666667
7	4.698526003522758	1541	1.714285714285714
8	4.818466730954677	1037	2.125
9	5.078027465667915	712	2.666666666666667
10	4.980631578947362	475	2.3
11	5.0914844649021855	316	2.454545454545454
12	4.843368237347294	191	2.125
13	5.0202086049543695	118	1.8269230769230766
14	4.746428571428569	100	1.9285714285714288
15	4.93051643192488	71	1.7333333333333334
16	5.594444444444444	45	1.875
17	5.476102941176469	32	2.235294117647059
18	5.363636363636364	22	2.0
19	5.17391304347826	23	2.078947368421053
20	5.918749999999999	8	1.5374999999999996
21	5.8238095238095235	10	1.8571428571428577
22	4.090909090909091	1	0.0
23	5.0	3	0.5652173913043477
24	4.458333333333333	2	0.0
28	4.625	2	1.6607142857142865
30	8.033333333333333	1	0.0
31	10.096774193548388	2	0.6129032258064502
34	4.617647058823529	1	0.0
35	4.114285714285714	1	0.0
