u1	u2	nobservations	iqr
1	2.3884703570258763	15265	2.0
2	2.7200117241884665	13647	1.5
3	2.4715211459753768	11728	1.3333333333333333
4	2.6990453860324903	5971	1.0
5	2.6768049155146088	3906	0.7999999999999998
6	2.7169660678642726	2505	0.6666666666666665
7	2.734031704829888	1541	0.8571428571428572
8	2.743129218900675	1037	0.75
9	2.828807740324599	712	0.7777777777777777
10	2.714105263157894	475	0.7000000000000002
11	2.7773302646720373	316	0.6363636363636362
12	2.650523560209423	191	0.583333333333333
13	2.6245110821382	118	0.5384615384615383
14	2.591428571428571	100	0.5
15	2.534272300469484	71	0.6999999999999997
16	2.6319444444444446	45	0.5625
17	2.645220588235294	32	0.6470588235294121
18	2.5252525252525255	22	0.5138888888888888
19	2.4645308924485128	23	0.5263157894736841
20	2.6374999999999997	8	0.41249999999999964
21	2.5	10	0.5833333333333326
22	2.590909090909091	1	0.0
23	2.260869565217391	3	0.4130434782608696
24	2.229166666666667	2	0.3541666666666665
28	2.4642857142857144	2	0.0
30	2.033333333333333	1	0.0
31	2.774193548387097	2	0.5161290322580641
34	2.411764705882353	1	0.0
35	2.5428571428571427	1	0.0
