u1	u2	nobservations	iqr
1	5.960365853658536	1968	3.0
2	5.284732824427481	1310	1.5
3	5.3972890416189285	1746	2.0
4	5.580707070707071	2475	1.75
5	5.543602941176473	2720	1.4000000000000004
6	5.597049044056525	3208	1.5
7	5.6454073848031685	3277	1.4285714285714288
8	5.6399557310361335	4179	0.9375
9	5.7079415297184815	3793	1.1111111111111116
10	5.656224263541352	3157	1.2000000000000002
11	5.591047355686135	2630	1.1818181818181817
12	5.5630699088145885	2632	1.083333333333333
13	5.595253905567399	2201	1.0
14	5.614251290877803	2075	1.1428571428571432
15	5.587123809523817	1750	1.0
16	5.553836259079903	1652	1.0625
17	5.561486405317735	1469	1.0
18	5.638030645566436	1327	0.8888888888888884
19	5.6121471658148	1143	1.0
20	5.641510318949338	1066	0.9499999999999993
21	5.6343368361261055	1006	1.0
22	5.657768416927903	928	0.954545454545455
23	5.641565635451504	832	0.9673913043478262
24	5.6302848242100625	749	0.9166666666666661
25	5.605919282511209	669	0.9199999999999999
26	5.631617201695941	635	0.8846153846153841
27	5.590453269153634	554	0.8888888888888893
28	5.602534562211983	496	0.7589285714285712
29	5.621724934299597	433	0.8620689655172411
30	5.632768361581927	413	0.7666666666666666
31	5.573826383425128	369	0.870967741935484
32	5.548323675496689	302	0.7421875
33	5.603571428571423	280	0.8863636363636358
34	5.677563962387929	269	0.8529411764705879
35	5.628347338935576	255	0.7142857142857144
36	5.542792792792794	222	0.6875
37	5.61800193050193	224	0.6486486486486482
38	5.671420170538078	179	0.7105263157894735
39	5.594405594405592	176	0.7692307692307692
40	5.53830935251799	139	0.5499999999999998
41	5.656078653809796	129	0.7804878048780486
42	5.678751803751801	132	0.6964285714285712
43	5.632000000000001	125	0.6511627906976747
44	5.633794466403161	115	0.6363636363636367
45	5.613518518518518	120	0.7166666666666668
46	5.563986874487284	106	0.5815217391304355
47	5.512303422756703	115	0.7340425531914896
48	5.602106227106229	91	0.6666666666666679
49	5.588571428571425	100	0.4540816326530619
50	5.476590909090908	88	0.6200000000000001
51	5.567853457172344	76	0.5392156862745097
52	5.548677884615383	64	0.7163461538461533
53	5.6691823899371085	75	0.5
54	5.547008547008545	65	0.4629629629629637
55	5.5391735537190065	55	0.336363636363636
56	5.567410714285716	80	0.6294642857142856
57	5.6325146198830405	75	0.49122807017543835
58	5.5953201970443365	70	0.4956896551724137
59	5.612680477087257	54	0.43220338983050866
60	5.549019607843139	68	0.3875000000000002
61	5.555261766261238	62	0.5204918032786878
62	5.4698327359617664	54	0.314516129032258
63	5.458434221146086	59	0.37301587301587347
64	5.442708333333333	51	0.3984375
65	5.536996336996338	42	0.41153846153846185
66	5.48088023088023	42	0.3522727272727275
67	5.596136962247586	34	0.5
68	5.5739268680445155	37	0.3823529411764701
69	5.555555555555555	39	0.3550724637681153
70	5.504571428571428	25	0.31428571428571495
71	5.518698397280235	29	0.295774647887324
72	5.452097505668935	49	0.3611111111111107
73	5.5192636986301356	32	0.2602739726027403
74	5.5446985446985435	26	0.381756756756757
75	5.486399999999999	25	0.45333333333333403
76	5.485197368421052	24	0.2828947368421044
77	5.6098249576510435	23	0.37012987012987075
78	5.643589743589744	20	0.3301282051282044
79	5.647257383966244	15	0.424050632911392
80	5.6875	10	0.2937500000000002
81	5.440586419753086	16	0.34567901234567877
82	5.486178861788617	15	0.5304878048780477
83	5.471686746987953	20	0.46084337349397586
84	5.490740740740741	9	0.2738095238095237
85	5.673529411764705	12	0.2852941176470596
86	5.280038759689924	12	0.3488372093023244
87	5.394909688013136	14	0.46839080459770166
88	5.417613636363637	12	0.42329545454545414
89	5.52093973442288	11	0.32022471910112404
90	5.414529914529914	13	0.5555555555555554
91	5.832967032967033	5	0.8681318681318686
92	5.602657004830918	9	0.32608695652173925
93	5.358870967741935	8	0.5000000000000009
94	5.4375	8	0.30319148936170226
95	5.352631578947369	4	0.44736842105263097
96	5.191406249999999	8	0.328125
97	5.225085910652921	6	0.3350515463917523
98	5.585714285714286	5	0.25510204081632626
99	5.502525252525253	8	0.404040404040404
100	5.439166666666666	12	0.41999999999999993
101	5.516265912305515	7	0.2970297029702964
102	5.7745098039215685	3	0.4852941176470589
103	5.466019417475728	6	0.25
104	5.282051282051282	3	0.4711538461538467
105	5.474603174603175	6	0.4166666666666661
106	5.581761006289308	3	0.15094339622641506
107	5.57196261682243	5	0.30841121495327073
108	5.66358024691358	6	0.10185185185185297
109	5.660550458715596	5	0.09174311926605494
110	5.590909090909091	2	0.06363636363636349
111	5.846846846846846	2	0.036036036036036556
112	5.205357142857143	1	0.0
113	6.247787610619469	1	0.0
114	5.545614035087719	5	0.3421052631578947
115	5.38695652173913	2	0.056521739130434234
116	5.593103448275863	5	0.2327586206896548
117	5.811965811965812	1	0.0
118	5.635593220338983	4	0.41949152542372925
119	5.371848739495798	4	0.405462184873949
120	5.3	1	0.0
121	5.661157024793388	1	0.0
122	5.553278688524591	2	0.004098360655738098
123	5.373983739837398	3	0.4227642276422756
124	5.658602150537635	3	0.12096774193548399
125	5.464	1	0.0
126	5.531746031746032	1	0.0
129	5.620155038759689	2	0.6589147286821699
130	5.134615384615385	2	0.06538461538461604
131	5.455470737913486	3	0.07251908396946494
132	5.0606060606060606	2	0.015151515151515582
137	5.182481751824818	1	0.0
138	5.335748792270532	3	0.6557971014492754
139	5.586330935251798	2	0.3345323741007187
140	5.007142857142857	1	0.0
141	5.524822695035461	1	0.0
144	5.854166666666667	1	0.0
145	5.551724137931035	1	0.0
150	5.266666666666667	1	0.0
153	6.189542483660131	1	0.0
157	5.585987261146498	2	0.14012738853503137
160	5.43125	1	0.0
163	6.0184049079754605	1	0.0
165	4.848484848484849	1	0.0
167	5.07185628742515	1	0.0
174	6.7701149425287355	1	0.0
176	5.738636363636363	1	0.0
178	5.174157303370786	1	0.0
186	5.327956989247312	1	0.0
231	4.445887445887446	1	0.0
237	4.265822784810126	1	0.0
241	4.865145228215768	2	0.15560165975103768
294	4.642857142857143	1	0.0
332	4.626506024096385	1	0.0
