u1	u2	nobservations	iqr
1	6.753033781567727	3049	3.0
2	5.74872829328188	5701	2.5
3	5.634536111581676	5903	2.0
4	5.633309883925431	5686	2.0
5	5.687098121085601	4790	1.6000000000000005
6	5.773262178434593	3654	1.666666666666667
7	5.896789106075083	2843	1.428571428571428
8	5.949846468781986	1954	1.5
9	6.033736958342845	1459	1.5555555555555554
10	6.13465045592704	987	1.3999999999999995
11	6.209497573133934	693	1.3636363636363642
12	6.325071839080456	464	1.375
13	6.272768774252449	337	1.2307692307692308
14	6.413988095238094	240	1.5178571428571432
15	6.300913242009132	146	1.1166666666666663
16	6.397810218978102	137	1.125
17	6.40877367896311	118	1.1029411764705888
18	6.354775828460039	57	1.4444444444444446
19	6.414860681114551	51	1.3157894736842106
20	6.711842105263158	38	0.8999999999999995
21	6.6810966810966805	33	1.2380952380952381
22	6.4787878787878785	15	0.7272727272727275
23	6.5826086956521745	20	1.108695652173913
24	6.711111111111111	15	1.1875
25	6.778461538461538	13	0.5200000000000005
26	6.7735042735042725	9	0.7307692307692308
27	7.018518518518519	6	2.046296296296296
28	6.738095238095238	3	0.39285714285714235
29	6.574712643678161	3	1.7413793103448274
30	7.0	4	1.7333333333333325
31	6.967741935483871	3	0.8387096774193559
32	6.671875	2	0.234375
33	6.363636363636363	1	0.0
34	6.161764705882353	2	0.6323529411764719
35	6.714285714285714	2	0.05714285714285694
36	7.583333333333333	1	0.0
40	6.2	1	0.0
41	7.0	1	0.0
42	8.261904761904763	1	0.0
43	7.395348837209302	1	0.0
45	5.022222222222222	1	0.0
60	7.966666666666667	1	0.0
