u1	u2	nobservations	iqr
1	4.5324934856292	51041	4.0
2	5.853052042801556	16448	2.5
3	6.066254871681727	9066	2.666666666666666
4	6.002067895915905	5803	2.25
5	5.952103087770483	4113	1.7999999999999998
6	5.901393002084007	3039	1.666666666666667
7	5.945522562543833	2444	1.7142857142857144
8	5.915817694369974	1865	1.5
9	5.916089127356742	1491	1.5555555555555562
10	5.886477462437391	1198	1.2999999999999998
11	5.919871794871796	936	1.3636363636363642
12	5.97842639593909	788	1.333333333333333
13	5.982816284165609	667	1.3076923076923075
14	5.915642601126475	558	1.2142857142857144
15	5.9393103448275895	435	1.333333333333333
16	5.92747641509434	318	1.125
17	5.9529007479280365	291	1.3529411764705879
18	5.991680085882982	207	1.2777777777777777
19	6.0117612466921475	179	1.1052631578947372
20	6.148473282442749	131	1.25
21	6.1764411027568915	95	1.0476190476190474
22	6.054968287526429	86	1.1704545454545459
23	6.1727837380011294	77	1.08695652173913
24	6.057098765432097	54	1.135416666666667
25	6.055384615384614	39	1.1599999999999984
26	6.09925558312655	31	1.3269230769230766
27	6.018518518518519	18	0.768518518518519
28	5.710714285714285	20	1.0089285714285712
29	6.436781609195402	12	1.8448275862068968
30	6.407407407407407	9	0.7333333333333334
31	6.408602150537635	6	0.806451612903226
32	6.23125	5	0.3125
33	5.606060606060606	5	0.09090909090909172
34	6.205882352941176	4	2.7941176470588243
35	5.9904761904761905	3	1.1571428571428575
36	7.333333333333333	1	0.0
37	7.756756756756757	1	0.0
40	6.85	2	0.5500000000000016
43	5.046511627906977	1	0.0
45	7.733333333333333	1	0.0
50	8.02	1	0.0
