u1	u2	nobservations	iqr
1	6.491792065663475	4386	5.0
2	5.592980132450331	3775	3.5
3	5.023012311586695	2897	2.3333333333333335
4	4.639749702026221	1678	2.0
5	4.403719912472647	914	1.8000000000000003
6	4.3206707734428464	487	1.6666666666666665
7	4.09874917709019	217	1.4285714285714288
8	3.9207589285714284	112	1.375
9	4.085858585858586	44	1.333333333333333
10	3.9095238095238094	21	1.2000000000000002
11	3.8181818181818183	9	2.8181818181818183
12	3.5555555555555554	9	0.33333333333333304
13	4.038461538461538	4	0.9615384615384617
14	3.2380952380952386	3	1.1785714285714288
15	3.8666666666666667	1	0.0
16	4.479166666666667	3	0.53125
17	2.8529411764705883	2	0.5
18	5.430555555555556	4	1.8472222222222223
22	5.409090909090909	1	0.0
25	5.32	1	0.0
33	4.909090909090909	1	0.0
43	3.9302325581395348	1	0.0
