u1	u2	nobservations	iqr
1	2.556999544003648	4386	1.0
2	2.7352317880794703	3775	1.5
3	2.698538718214244	2897	1.0
4	2.6527115613825982	1678	0.75
5	2.6185995623632374	914	0.7999999999999998
6	2.6023271731690656	487	0.8333333333333335
7	2.4759710335747203	217	0.5714285714285716
8	2.4375	112	0.53125
9	2.6414141414141414	44	0.5555555555555554
10	2.495238095238095	21	0.5
11	2.0606060606060606	9	1.1818181818181817
12	2.4444444444444446	9	0.5833333333333335
13	2.3461538461538463	4	0.23076923076923084
14	1.857142857142857	3	0.07142857142857117
15	2.2666666666666666	1	0.0
16	2.2708333333333335	3	0.34375
17	1.7647058823529411	2	0.05882352941176494
18	1.9722222222222219	4	0.44444444444444464
22	2.9545454545454546	1	0.0
25	2.8	1	0.0
33	2.242424242424242	1	0.0
43	1.3255813953488371	1	0.0
