u1	u2	nobservations	iqr
1	5.996491228070176	285	2.0
2	5.535230352303523	369	3.0
3	5.330671989354624	501	2.0
4	5.306851311953353	686	2.0
5	5.499867197875164	753	1.8000000000000007
6	5.562185642432556	729	1.666666666666666
7	5.70358065706903	774	1.571428571428572
8	5.673737046632124	772	1.5
9	5.736610216164125	807	1.5555555555555554
10	5.811835106382981	752	1.4000000000000004
11	5.818553381223679	734	1.3636363636363633
12	5.845006934812764	721	1.25
13	5.825291375291372	660	1.2307692307692308
14	5.876499886800997	631	1.2857142857142856
15	5.899999999999999	596	1.2666666666666666
16	5.9534220532319395	526	1.1875
17	5.974429537897034	513	1.117647058823529
18	5.870657797487064	451	1.166666666666667
19	5.945711736969543	413	1.2105263157894735
20	5.994117647058825	374	1.2000000000000002
21	5.993865030674848	326	1.2380952380952372
22	6.050032701111839	278	1.2272727272727275
23	6.030011542901116	226	1.2065217391304346
24	6.108009708737867	206	1.15625
25	6.0362926829268275	205	1.0799999999999992
26	6.062956596476149	179	0.8461538461538467
27	6.002946127946126	176	1.2222222222222223
28	6.081395348837209	129	1.1071428571428568
29	6.025103448275861	125	1.0
30	5.8805555555555555	96	1.0
31	5.987764182424918	87	1.0
32	6.1692307692307695	65	1.15625
33	6.189723320158102	46	1.1439393939393945
34	6.140466531440163	58	0.7279411764705879
35	6.280219780219782	52	1.128571428571429
36	6.187037037037038	30	1.0486111111111116
37	6.111793611793612	22	1.358108108108108
38	5.88021778584392	29	1.1052631578947363
39	5.896410256410256	25	0.7948717948717947
40	6.1833333333333345	18	1.1000000000000014
41	6.248592870544091	26	1.2560975609756104
42	5.895833333333333	16	0.8214285714285721
43	6.477519379844962	15	1.337209302325582
44	6.220170454545454	16	1.4602272727272734
45	6.011111111111111	8	0.7944444444444443
46	6.634782608695652	5	0.7826086956521738
47	7.468085106382979	2	0.255319148936171
48	6.138888888888888	3	1.28125
49	5.359183673469388	5	0.18367346938775508
50	6.308	5	1.12
51	6.712418300653595	3	0.5588235294117645
52	6.278846153846153	4	1.115384615384615
53	6.30188679245283	2	0.8490566037735832
54	5.9111111111111105	5	1.5
55	5.454545454545454	3	0.47272727272727266
56	5.946428571428571	2	1.0892857142857153
57	7.280701754385965	1	0.0
58	6.422413793103448	2	0.4741379310344831
59	6.033898305084746	4	0.9152542372881349
60	6.333333333333334	2	1.633333333333332
62	7.435483870967742	1	0.0
63	5.579365079365079	2	0.2777777777777768
64	5.65625	1	0.0
68	6.279411764705882	2	0.14705882352941213
75	5.493333333333333	1	0.0
79	5.886075949367089	1	0.0
81	5.679012345679013	1	0.0
86	5.337209302325581	1	0.0
102	5.549019607843137	1	0.0
120	4.783333333333333	1	0.0
133	4.902255639097745	1	0.0
142	5.880281690140845	1	0.0
163	5.306748466257669	1	0.0
169	6.816568047337278	1	0.0
