u1	u2	nobservations	iqr
1	6.632786885245902	610	3.0
2	4.944607843137255	1020	2.0
3	4.972040668119104	918	1.666666666666667
4	4.940781796966161	857	1.25
5	4.985103448275862	725	1.3999999999999995
6	4.878048780487806	574	1.125
7	4.930783817951959	452	1.0
8	4.9598360655737705	305	1.125
9	5.027672955974847	265	1.2222222222222223
10	4.9513513513513505	185	1.0
11	4.9085005903187735	154	1.0909090909090908
12	4.8950000000000005	100	0.9583333333333339
13	5.032478632478634	90	1.0769230769230766
14	5.055102040816327	70	0.8571428571428577
15	4.934391534391535	63	0.7333333333333334
16	5.13563829787234	47	1.21875
17	5.189915966386553	35	0.7647058823529411
18	4.831597222222223	32	0.5694444444444446
19	4.9769736842105265	16	1.0131578947368425
20	5.4	8	0.7000000000000002
21	5.164021164021164	9	0.9047619047619051
22	5.06439393939394	12	0.31818181818181834
23	5.108695652173912	4	0.2608695652173907
24	4.933333333333334	5	0.9583333333333339
25	5.640000000000001	3	0.2999999999999998
26	5.41025641025641	3	0.4038461538461533
27	5.314814814814815	4	0.8518518518518521
28	5.0	2	0.035714285714286476
29	5.0344827586206895	1	0.0
30	5.533333333333333	2	0.10000000000000053
31	4.580645161290323	2	0.03225806451612989
33	5.0606060606060606	2	0.3939393939393945
44	4.590909090909091	1	0.0
52	5.0	1	0.0
