u1	u2	nobservations	iqr
1	3.832016530934727	8227	3.0
2	4.870556252613969	2391	1.5
3	5.06008171112713	1387	1.333333333333334
4	4.9918367346938775	980	1.5
5	4.941927083333327	768	1.3999999999999995
6	5.007069059271348	613	1.166666666666667
7	4.913400758533505	452	1.1428571428571432
8	4.997151898734177	395	0.875
9	4.947263681592038	335	1.1111111111111116
10	4.937762237762238	286	1.0
11	4.963135289906944	254	0.9090909090909083
12	4.939912280701753	190	1.0
13	4.974358974358973	171	0.8461538461538467
14	4.939024390243905	123	0.8571428571428568
15	4.921333333333333	100	0.7999999999999998
16	4.887658227848101	79	0.625
17	5.056189640035119	67	0.9117647058823533
18	4.894444444444445	50	0.6527777777777777
19	5.0687432867884	49	0.7368421052631584
20	4.733962264150944	53	0.5
21	4.748917748917749	22	0.6785714285714279
22	5.178787878787879	15	0.704545454545455
23	5.133152173913044	16	0.8804347826086962
24	5.026960784313725	17	0.708333333333333
25	4.705714285714286	14	0.5499999999999989
26	4.940559440559441	11	0.26923076923076916
27	4.754629629629631	16	0.3888888888888884
28	4.837662337662338	11	0.5535714285714288
29	4.879310344827586	2	0.3275862068965516
30	5.186666666666667	5	0.2666666666666666
31	5.090322580645162	10	1.0
37	5.351351351351352	1	0.0
38	4.973684210526316	1	0.0
40	4.675	1	0.0
49	5.0	1	0.0
