u1	u2	nobservations	iqr
1	3.1624923640806353	3274	2.0
2	3.6843950905902982	1711	2.0
3	4.157438794726923	885	1.3333333333333335
4	4.086622807017544	456	1.5
5	3.9287671232876713	292	1.3999999999999995
6	4.055555555555554	159	1.1666666666666665
7	4.049304677623262	113	0.9999999999999996
8	4.028169014084507	71	1.25
9	4.035460992907802	47	1.0
10	4.248484848484847	33	1.4
11	4.055555555555555	36	1.2954545454545454
12	4.386904761904762	14	0.9166666666666665
13	4.096153846153847	8	0.40384615384615463
14	4.164835164835165	13	1.0
15	4.166666666666667	14	0.8999999999999995
16	4.458333333333333	9	0.6875
17	4.213235294117647	8	0.7499999999999991
18	3.920634920634921	7	0.5555555555555562
19	4.280701754385965	9	1.1578947368421053
20	3.79	5	0.7999999999999998
21	4.0	1	0.0
22	3.272727272727273	1	0.0
23	3.9130434782608696	1	0.0
24	4.833333333333333	1	0.0
25	3.68	1	0.0
27	4.777777777777778	1	0.0
