u1	u2	nobservations	iqr
1	7.655172413793103	290	4.0
2	6.2486535008976665	557	3.0
3	6.122690317812274	902	2.0
4	5.992756804214223	1139	2.25
5	6.0185399768250205	863	1.7999999999999998
6	6.3056653491436085	506	2.0
7	6.493025493025494	297	2.1428571428571432
8	6.644132653061225	196	2.25
9	7.108080808080807	110	2.0
10	7.225373134328359	67	2.0
11	7.140909090909091	40	1.1363636363636358
12	7.458333333333333	24	1.7500000000000009
13	6.89102564102564	12	1.5
14	7.348214285714286	8	1.178571428571428
15	7.6952380952380945	7	0.8333333333333339
16	7.589285714285714	7	1.3125
17	8.705882352941176	3	0.882352941176471
18	6.277777777777778	3	1.1111111111111107
19	8.157894736842104	1	0.0
20	6.85	1	0.0
21	6.761904761904762	1	0.0
